log10_x,L_reconstructed,wave1,wave2,wave3,wave4,wave5,envelope_pos,envelope_neg,dc_offset
1.00,-0.177720,0.627507,-0.614312,0.540506,0.491582,0.259999,10.860815,-10.860815,-0.670000
1.02,0.252406,0.662177,-0.486046,0.495989,0.424209,0.547768,10.860815,-10.860815,-0.670000
1.04,4.843578,0.426045,0.063267,-0.136919,-0.348312,-0.200780,10.860815,-10.860815,-0.670000
1.06,-3.178071,0.015680,0.557774,-0.607400,-0.541846,-0.569475,10.860815,-10.860815,-0.670000
1.08,-1.885432,-0.401098,0.569098,-0.357323,0.165314,0.139215,10.860815,-10.860815,-0.670000
1.10,1.391583,-0.653844,0.087430,0.316646,0.597678,0.584525,10.860815,-10.860815,-0.670000
1.12,-8.965646,-0.639197,-0.469976,0.614978,0.036541,-0.076023,10.860815,-10.860815,-0.670000
1.14,-2.625012,-0.363145,-0.620256,0.183763,-0.585336,-0.592744,10.860815,-10.860815,-0.670000
1.16,-0.639777,0.061417,-0.233227,-0.465450,-0.234228,0.011942,10.860815,-10.860815,-0.670000
1.18,0.656575,0.460862,0.355839,-0.562500,0.506230,0.594035,10.860815,-10.860815,-0.670000
1.20,2.678026,0.671835,0.636653,0.007743,0.405198,0.052278,10.860815,-10.860815,-0.670000
1.22,-0.824079,0.608056,0.365954,0.568801,-0.369382,-0.588383,10.860815,-10.860815,-0.670000
1.24,-1.241459,0.295609,-0.221760,0.455091,-0.529950,-0.115888,10.860815,-10.860815,-0.670000
1.26,0.193708,-0.137729,-0.617370,-0.198493,0.190401,0.575854,10.860815,-10.860815,-0.670000
1.28,-6.063532,-0.514742,-0.478171,-0.616605,0.594254,0.178142,10.860815,-10.860815,-0.670000
1.30,-1.275953,-0.681248,0.075253,-0.303239,0.010298,-0.556596,10.860815,-10.860815,-0.670000
1.32,-0.559862,-0.569153,0.563488,0.369858,-0.590777,-0.238315,10.860815,-10.860815,-0.670000
1.34,-0.483272,-0.224299,0.563590,0.604194,-0.209822,0.530832,10.860815,-10.860815,-0.670000
1.36,4.869152,0.212283,0.075471,0.121775,0.519913,0.295703,10.860815,-10.860815,-0.670000
1.38,-1.774836,0.562051,-0.478026,-0.505105,0.385413,-0.498864,10.860815,-10.860815,-0.670000
1.40,-3.763798,0.681965,-0.617424,-0.532779,-0.389747,-0.349634,10.860815,-10.860815,-0.670000
1.42,0.365507,0.522984,-0.221966,0.071582,-0.517043,0.461065,10.860815,-10.860815,-0.670000
1.44,-1.362926,0.150126,0.365774,0.591026,0.215125,0.399479,10.860815,-10.860815,-0.670000
1.46,5.582833,-0.284127,0.636655,0.409336,0.589698,-0.417878,10.860815,-10.860815,-0.670000
1.48,-2.456366,-0.602185,0.356022,-0.257948,-0.015965,-0.444656,10.860815,-10.860815,-0.670000
1.50,-2.342093,-0.673975,-0.233023,-0.619229,-0.595089,0.369807,10.860815,-10.860815,-0.670000
1.52,-3.056323,-0.470139,-0.620207,-0.245919,-0.185016,0.484635,10.860815,-10.860815,-0.670000
1.54,-0.009348,-0.074036,-0.470124,0.419125,0.532604,-0.317414,10.860815,-10.860815,-0.670000
1.56,3.987080,0.352344,0.087212,0.586961,0.364893,-0.518950,10.860815,-10.860815,-0.670000
1.58,0.017304,0.634630,0.569000,0.058487,-0.409368,0.261311,10.860815,-10.860815,-0.670000
1.60,-0.795485,0.657381,0.557880,-0.539371,-0.503150,0.547200,10.860815,-10.860815,-0.670000
1.62,-5.202690,0.411291,0.063486,-0.497373,0.239438,-0.202154,8.965646,-8.965646,-0.670000
1.64,-6.803435,-0.002999,-0.485904,0.134658,0.584015,-0.569055,8.638740,-8.638740,-0.670000
1.66,-0.102661,-0.416062,-0.614370,0.606944,-0.042197,0.140634,8.638740,-8.638740,-0.670000
1.68,-4.689833,-0.658975,-0.210626,0.359214,-0.598267,0.584258,8.638740,-8.638740,-0.670000
1.70,-3.038861,-0.632395,0.375577,-0.314652,-0.159856,-0.077470,8.638740,-8.638740,-0.670000
1.72,7.053015,-0.347193,0.636429,-0.615246,0.544278,-0.592634,8.638740,-8.638740,-0.670000
1.74,-1.573527,0.079995,0.345962,-0.185975,0.343677,0.013402,8.638740,-8.638740,-0.670000
1.76,-0.128859,0.474469,-0.244201,0.463918,-0.428208,0.594082,8.638740,-8.638740,-0.670000
1.78,4.189547,0.674906,-0.622821,0.563466,-0.488296,0.050824,8.638740,-8.638740,-0.670000
1.80,-0.745389,0.599335,-0.461909,-0.005425,0.263295,-0.588588,10.380495,-10.380495,-0.670000
1.82,5.930244,0.278663,0.099140,-0.567880,0.577219,-0.114455,10.380495,-10.380495,-0.670000
1.84,-1.650243,-0.155971,0.574307,-0.456660,-0.068349,0.576214,10.380495,-10.380495,-0.670000
1.86,3.517973,-0.526819,0.551970,0.196296,-0.600303,0.176749,10.380495,-10.380495,-0.670000
1.88,-1.826835,-0.682221,0.051477,0.616386,-0.134392,-0.557106,10.380495,-10.380495,-0.670000
1.90,-4.436332,-0.558625,-0.493608,0.305258,0.554914,-0.236977,10.380495,-10.380495,-0.670000
1.92,-1.867846,-0.206575,-0.611096,-0.367997,0.321804,0.531487,10.380495,-10.380495,-0.670000
1.94,-0.192360,0.229955,-0.199210,-0.604698,-0.446231,0.294435,10.380495,-10.380495,-0.670000
1.96,-1.341374,0.572443,0.385245,-0.124046,-0.472511,-0.499656,10.380495,-10.380495,-0.670000
1.98,3.888306,0.680827,0.635974,0.503761,0.286649,-0.348453,10.380495,-10.380495,-0.670000
2.00,7.298740,0.510782,0.335778,0.533957,0.569321,0.461985,10.380495,-10.380495,-0.670000
2.02,-3.131913,0.131850,-0.255293,-0.069280,-0.094371,0.398397,10.380495,-10.380495,-0.670000
2.04,-7.082553,-0.301004,-0.625211,-0.590330,-0.601193,-0.418915,10.380495,-10.380495,-0.670000
2.06,-5.933703,-0.610760,-0.453528,-0.411073,-0.108671,-0.443685,10.380495,-10.380495,-0.670000
2.08,1.571010,-0.670742,0.111032,0.255840,0.564491,0.370949,10.380495,-10.380495,-0.670000
2.10,4.781176,-0.456419,0.579409,0.619250,0.299318,0.483788,10.380495,-10.380495,-0.670000
2.12,-5.653344,-0.055441,0.545861,0.248045,-0.463402,-0.318647,10.380495,-10.380495,-0.670000
2.14,-0.478924,0.368210,0.039451,-0.417416,-0.455824,-0.518237,10.380495,-10.380495,-0.670000
2.16,-0.444878,0.641279,-0.501135,-0.587696,0.309456,0.262621,10.380495,-10.380495,-0.670000
2.18,-5.549736,0.652093,-0.607603,-0.060793,0.560337,0.546628,10.380495,-10.380495,-0.670000
2.20,-6.096751,0.396230,-0.187723,0.538228,-0.120212,-0.203526,10.380495,-10.380495,-0.670000
2.22,4.082899,-0.021675,0.394776,0.498751,-0.600936,-0.568631,10.380495,-10.380495,-0.670000
2.24,-4.808607,-0.430715,0.635292,-0.132394,-0.082743,0.142052,10.380495,-10.380495,-0.670000
2.26,-7.822678,-0.663612,0.325474,-0.606480,0.572991,0.583988,10.380495,-10.380495,-0.670000
2.28,6.700160,-0.625120,-0.266292,-0.361099,0.276261,-0.078918,10.380495,-10.380495,-0.670000
2.30,-10.380495,-0.330981,-0.627377,0.312653,-0.479689,-0.592520,10.380495,-10.380495,-0.670000
