log10_x,L_100,L_1000,dc,zero_line
3.52,6.027375,5.765341,-0.670000,0.0
3.54,3.589070,-16.098694,-0.670000,0.0
3.56,-2.041615,-2.437326,-0.670000,0.0
3.58,-1.381609,-12.630760,-0.670000,0.0
3.60,0.892582,10.457527,-0.670000,0.0
3.62,-3.473388,-4.631431,-0.670000,0.0
3.64,1.739660,-7.852319,-0.670000,0.0
3.66,-0.402361,-7.606648,-0.670000,0.0
3.68,-0.915037,19.062728,-0.670000,0.0
3.70,-5.402870,-9.399813,-0.670000,0.0
3.72,-0.145288,-5.874889,-0.670000,0.0
3.74,-3.425500,10.741551,-0.670000,0.0
3.76,-1.410876,-25.761259,-0.670000,0.0
3.78,6.231333,10.570190,-0.670000,0.0
3.80,-1.574360,-1.010141,-0.670000,0.0
3.82,-0.124131,-1.749395,-0.670000,0.0
3.84,-0.764906,-15.229063,-0.670000,0.0
3.86,-1.992920,-8.629363,-0.670000,0.0
3.88,-2.404807,-4.612711,-0.670000,0.0
3.90,-2.897026,-12.559303,-0.670000,0.0
3.92,-2.279879,-15.558354,-0.670000,0.0
3.94,-0.245831,-4.563269,-0.670000,0.0
3.96,0.621611,4.766475,-0.670000,0.0
3.98,-6.440387,-16.449741,-0.670000,0.0
4.00,-0.705675,1.005999,-0.670000,0.0
4.02,-1.473972,-8.168385,-0.670000,0.0
4.04,0.139999,-3.542380,-0.670000,0.0
4.06,-1.529273,1.832138,-0.670000,0.0
4.08,-1.977359,11.232446,-0.670000,0.0
4.10,-4.145935,-2.120962,-0.670000,0.0
4.12,-2.410752,-19.839808,-0.670000,0.0
4.14,-3.675061,-5.435419,-0.670000,0.0
4.16,3.900827,-4.589630,-0.670000,0.0
4.18,6.663723,1.110782,-0.670000,0.0
4.20,-5.256994,-5.672775,-0.670000,0.0
4.22,-1.941364,-1.102637,-0.670000,0.0
4.24,2.233338,8.228032,-0.670000,0.0
4.26,-3.074848,9.596444,-0.670000,0.0
4.28,4.765643,4.021574,-0.670000,0.0
4.30,3.949929,10.122736,-0.670000,0.0
4.32,2.758406,11.535144,-0.670000,0.0
4.34,-1.874459,-11.758267,-0.670000,0.0
4.36,-1.376170,-0.451927,-0.670000,0.0
4.38,-5.276145,7.921645,-0.670000,0.0
4.40,1.131261,3.718413,-0.670000,0.0
4.42,-2.301784,-5.682014,-0.670000,0.0
4.44,9.191672,-1.048150,-0.670000,0.0
4.46,-6.842521,-6.314337,-0.670000,0.0
4.48,1.608123,-4.886569,-0.670000,0.0
4.50,-1.481120,1.409763,-0.670000,0.0
4.52,1.184625,-0.410329,-0.670000,0.0
4.54,-4.771895,-1.225442,-0.670000,0.0
4.56,4.916861,-4.061930,-0.670000,0.0
4.58,-3.093335,-5.524332,-0.670000,0.0
4.60,-2.922147,1.811745,-0.670000,0.0
4.62,0.420674,-14.911649,-0.670000,0.0
4.64,2.578634,-3.778726,-0.670000,0.0
4.66,0.808051,1.553530,-0.670000,0.0
4.68,-0.625048,-2.355503,-0.670000,0.0
4.70,-5.078218,-15.038392,-0.670000,0.0
4.72,0.036253,7.897383,-0.670000,0.0
4.74,-1.872611,1.303691,-0.670000,0.0
4.76,-4.342400,4.074486,-0.670000,0.0
4.78,-6.209992,-3.345406,-0.670000,0.0
4.80,4.611901,-7.572444,-0.670000,0.0
4.82,-4.851185,-11.970978,-0.670000,0.0
4.84,3.321975,-4.377281,-0.670000,0.0
4.86,-3.205557,-3.645855,-0.670000,0.0
4.88,-3.962283,-7.391420,-0.670000,0.0
4.90,4.340599,-3.184091,-0.670000,0.0
4.92,-3.959704,6.727220,-0.670000,0.0
4.94,-1.937431,6.060840,-0.670000,0.0
4.96,-0.200024,5.552113,-0.670000,0.0
4.98,-4.172543,-10.971486,-0.670000,0.0
5.00,0.400702,-11.476207,-0.670000,0.0
5.02,3.242212,0.237073,-0.670000,0.0
5.04,-3.578547,-9.774231,-0.670000,0.0
5.06,2.563024,-10.404300,-0.670000,0.0
