log10_x,M_100,M_1000,M_10000,threshold_pos,threshold_neg
109.4,-0.094575,-0.082478,-0.089213,1.0,-1.0
109.5,-0.017063,-0.020294,-0.023356,1.0,-1.0
109.6,0.017427,0.014606,0.019992,1.0,-1.0
109.7,0.100063,0.071994,0.078835,1.0,-1.0
109.8,-0.067631,-0.057242,-0.048487,1.0,-1.0
109.9,0.091742,0.099275,0.095872,1.0,-1.0
110.0,0.024072,0.019886,0.030939,1.0,-1.0
110.1,0.115459,0.117169,0.116182,1.0,-1.0
110.2,-0.094065,-0.089632,-0.098386,1.0,-1.0
110.3,0.026197,0.022302,0.025203,1.0,-1.0
110.4,-0.056441,-0.060203,-0.055024,1.0,-1.0
110.5,0.044489,0.021074,0.018659,1.0,-1.0
110.6,-0.067298,-0.083829,-0.081710,1.0,-1.0
110.7,-0.048745,-0.041715,-0.044768,1.0,-1.0
110.8,0.002656,-0.006429,-0.007344,1.0,-1.0
110.9,0.009450,0.019033,0.027983,1.0,-1.0
111.0,-0.000115,-0.005452,-0.005618,1.0,-1.0
111.1,0.023949,0.026636,0.021764,1.0,-1.0
111.2,-0.011496,-0.018462,-0.013168,1.0,-1.0
111.3,0.071204,0.063190,0.055499,1.0,-1.0
111.4,0.040227,0.051489,0.044648,1.0,-1.0
111.5,-0.075391,-0.089688,-0.094184,1.0,-1.0
111.6,0.032445,0.027581,0.022700,1.0,-1.0
111.7,-0.052634,-0.060326,-0.063867,1.0,-1.0
111.8,0.014491,0.018829,0.011892,1.0,-1.0
111.9,-0.077229,-0.098871,-0.095374,1.0,-1.0
112.0,-0.034825,-0.044945,-0.050247,1.0,-1.0
112.1,-0.050231,-0.050999,-0.047020,1.0,-1.0
112.2,0.106096,0.110379,0.111552,1.0,-1.0
112.3,-0.006444,0.000374,-0.012490,1.0,-1.0
112.4,0.095771,0.081541,0.071307,1.0,-1.0
112.5,0.026380,0.015688,0.027115,1.0,-1.0
112.6,0.028842,0.035728,0.035524,1.0,-1.0
112.7,-0.019622,-0.043697,-0.048291,1.0,-1.0
112.8,-0.003502,0.010634,0.009978,1.0,-1.0
112.9,-0.129625,-0.146337,-0.148074,1.0,-1.0
113.0,-0.005204,-0.027516,-0.039660,1.0,-1.0
113.1,-0.022960,-0.006785,-0.013920,1.0,-1.0
113.2,0.069565,0.071513,0.067802,1.0,-1.0
113.3,-0.022968,-0.014360,-0.014086,1.0,-1.0
113.4,0.020927,0.032826,0.033260,1.0,-1.0
113.5,0.041772,0.038077,0.041067,1.0,-1.0
113.6,0.053774,0.028378,0.024150,1.0,-1.0
113.7,-0.016760,-0.044301,-0.036136,1.0,-1.0
113.8,-0.023452,-0.041384,-0.033763,1.0,-1.0
113.9,-0.046049,-0.031883,-0.026881,1.0,-1.0
114.0,0.069404,0.054782,0.049567,1.0,-1.0
114.1,-0.015819,-0.003069,-0.013170,1.0,-1.0
114.2,0.002544,0.004070,0.017021,1.0,-1.0
114.3,-0.059496,-0.066888,-0.055417,1.0,-1.0
114.4,-0.025036,-0.008469,-0.005796,1.0,-1.0
114.5,0.030457,0.007073,0.006285,1.0,-1.0
114.6,-0.040249,-0.031020,-0.040636,1.0,-1.0
114.7,0.000890,0.027680,0.028135,1.0,-1.0
114.8,-0.041019,-0.039628,-0.045007,1.0,-1.0
114.9,0.054920,0.070080,0.069202,1.0,-1.0
115.0,-0.002030,-0.024039,-0.030618,1.0,-1.0
115.1,0.068548,0.079787,0.089681,1.0,-1.0
115.2,-0.039342,-0.048201,-0.053236,1.0,-1.0
115.3,0.122988,0.143312,0.137298,1.0,-1.0
115.4,-0.128296,-0.108701,-0.112304,1.0,-1.0
115.5,0.002140,0.004673,0.013808,1.0,-1.0
115.6,-0.022204,-0.032034,-0.034305,1.0,-1.0
115.7,0.056098,0.053021,0.053784,1.0,-1.0
115.8,-0.014843,-0.010487,-0.005656,1.0,-1.0
115.9,0.018487,0.004487,0.007030,1.0,-1.0
116.0,-0.090107,-0.091453,-0.087754,1.0,-1.0
116.1,0.133753,0.153238,0.145075,1.0,-1.0
116.2,-0.003221,0.018062,0.019686,1.0,-1.0
116.3,-0.043024,-0.062693,-0.057707,1.0,-1.0
116.4,-0.074289,-0.059341,-0.057997,1.0,-1.0
116.5,-0.053751,-0.083107,-0.085867,1.0,-1.0
116.6,0.043589,0.064175,0.061253,1.0,-1.0
116.7,0.004022,-0.006752,-0.011082,1.0,-1.0
116.8,-0.019974,-0.006817,-0.013845,1.0,-1.0
116.9,0.035696,0.033570,0.033363,1.0,-1.0
117.0,0.083228,0.070079,0.060178,1.0,-1.0
117.1,0.008539,0.005857,0.014014,1.0,-1.0
117.2,-0.035752,-0.045857,-0.041684,1.0,-1.0
117.3,-0.076466,-0.068427,-0.077965,1.0,-1.0
117.4,0.093810,0.064200,0.080489,1.0,-1.0
117.5,-0.003501,-0.002225,-0.002389,1.0,-1.0
117.6,0.026272,0.039627,0.041768,1.0,-1.0
117.7,-0.094008,-0.053361,-0.052154,1.0,-1.0
117.8,0.028729,0.051864,0.050501,1.0,-1.0
117.9,0.002290,0.002527,0.014213,1.0,-1.0
118.0,0.026377,0.034085,0.044413,1.0,-1.0
118.1,-0.095527,-0.081365,-0.083101,1.0,-1.0
118.2,-0.008507,-0.006231,0.003116,1.0,-1.0
118.3,0.050847,0.089462,0.093264,1.0,-1.0
118.4,0.096292,0.107301,0.110604,1.0,-1.0
118.5,0.022056,0.007258,-0.003500,1.0,-1.0
118.6,0.028753,0.023032,0.019365,1.0,-1.0
118.7,-0.001597,-0.007339,-0.011084,1.0,-1.0
118.8,-0.005670,-0.016833,-0.020725,1.0,-1.0
118.9,-0.087874,-0.074360,-0.071259,1.0,-1.0
119.0,-0.068568,-0.099437,-0.105493,1.0,-1.0
119.1,-0.022223,-0.003170,-0.012190,1.0,-1.0
119.2,0.032093,0.027020,0.030376,1.0,-1.0
119.3,-0.003653,-0.006265,-0.004685,1.0,-1.0
119.4,-0.036701,-0.047631,-0.048762,1.0,-1.0
119.5,0.053984,0.023647,0.021710,1.0,-1.0
119.6,0.062603,0.065369,0.062794,1.0,-1.0
119.7,0.011704,0.035208,0.035156,1.0,-1.0
119.8,-0.033366,-0.041126,-0.048898,1.0,-1.0
119.9,-0.075521,-0.048408,-0.048270,1.0,-1.0
120.0,0.014778,0.010007,0.014104,1.0,-1.0
120.1,0.036776,0.030488,0.034156,1.0,-1.0
120.2,-0.064940,-0.032973,-0.034751,1.0,-1.0
120.3,0.024278,0.018590,0.006933,1.0,-1.0
120.4,-0.021174,-0.021069,-0.011189,1.0,-1.0
120.5,0.083683,0.060877,0.064614,1.0,-1.0
120.6,-0.081539,-0.108916,-0.107046,1.0,-1.0
120.7,0.042764,0.024821,0.023169,1.0,-1.0
120.8,-0.007591,-0.025321,-0.024042,1.0,-1.0
120.9,0.118269,0.119529,0.110543,1.0,-1.0
121.0,-0.007933,-0.023337,-0.031342,1.0,-1.0
121.1,0.005979,0.009105,0.006255,1.0,-1.0
121.2,-0.079759,-0.119926,-0.120765,1.0,-1.0
121.3,0.039950,0.051205,0.049177,1.0,-1.0
121.4,-0.020798,-0.021458,-0.010869,1.0,-1.0
121.5,0.025216,-0.000394,0.007318,1.0,-1.0
121.6,-0.133474,-0.123582,-0.136039,1.0,-1.0
121.7,-0.012677,-0.006887,-0.013304,1.0,-1.0
121.8,0.029470,0.022355,0.030885,1.0,-1.0
121.9,0.078259,0.078332,0.072526,1.0,-1.0
122.0,0.064039,0.041822,0.047033,1.0,-1.0
122.1,-0.047647,-0.038591,-0.041337,1.0,-1.0
122.2,0.034931,0.045819,0.049309,1.0,-1.0
122.3,0.009873,0.029387,0.045251,1.0,-1.0
122.4,-0.051932,-0.069389,-0.066281,1.0,-1.0
122.5,-0.022195,-0.033994,-0.027267,1.0,-1.0
122.6,-0.031912,-0.011660,-0.007577,1.0,-1.0
122.7,0.029049,0.005278,0.009526,1.0,-1.0
122.8,0.032902,0.022277,0.023561,1.0,-1.0
122.9,-0.057894,-0.062828,-0.060396,1.0,-1.0
123.0,0.018094,0.018365,0.003817,1.0,-1.0
123.1,0.008924,0.005327,0.006221,1.0,-1.0
123.2,0.083696,0.091548,0.082116,1.0,-1.0
123.3,-0.072889,-0.075808,-0.074380,1.0,-1.0
123.4,-0.028373,-0.008922,-0.009932,1.0,-1.0
123.5,-0.075169,-0.088910,-0.090710,1.0,-1.0
123.6,0.138296,0.123226,0.119989,1.0,-1.0
123.7,-0.073821,-0.063931,-0.067707,1.0,-1.0
123.8,0.046799,0.063383,0.065962,1.0,-1.0
123.9,-0.075407,-0.039482,-0.030561,1.0,-1.0
124.0,0.038825,0.048027,0.044723,1.0,-1.0
124.1,-0.038680,-0.044350,-0.048450,1.0,-1.0
124.2,0.026935,0.022586,0.025073,1.0,-1.0
124.3,0.000924,-0.009018,-0.003820,1.0,-1.0
124.4,0.099311,0.110239,0.111141,1.0,-1.0
124.5,-0.040998,-0.040155,-0.049636,1.0,-1.0
124.6,-0.009288,-0.034170,-0.033507,1.0,-1.0
124.7,-0.034192,-0.047264,-0.046779,1.0,-1.0
124.8,0.021213,0.011849,0.022668,1.0,-1.0
124.9,0.058772,0.055481,0.057996,1.0,-1.0
125.0,-0.137170,-0.152731,-0.159592,1.0,-1.0
125.1,-0.059975,-0.072706,-0.072700,1.0,-1.0
125.2,-0.056349,-0.038370,-0.036895,1.0,-1.0
125.3,0.139951,0.166614,0.163761,1.0,-1.0
125.4,0.104929,0.078177,0.080380,1.0,-1.0
125.5,-0.025345,-0.027721,-0.021435,1.0,-1.0
125.6,-0.014311,-0.016791,-0.016176,1.0,-1.0
125.7,0.117502,0.109122,0.106173,1.0,-1.0
125.8,0.029645,0.038860,0.042456,1.0,-1.0
125.9,-0.002134,0.022143,0.027622,1.0,-1.0
126.0,-0.132983,-0.119988,-0.116614,1.0,-1.0
126.1,0.016559,0.024824,0.017837,1.0,-1.0
126.2,-0.007047,-0.002213,0.004405,1.0,-1.0
126.3,-0.009975,-0.010574,-0.016683,1.0,-1.0
126.4,-0.100510,-0.121674,-0.124661,1.0,-1.0
126.5,0.025501,0.007353,0.007355,1.0,-1.0
126.6,0.044587,0.041718,0.040907,1.0,-1.0
126.7,0.095718,0.108129,0.105184,1.0,-1.0
126.8,-0.117855,-0.133373,-0.132011,1.0,-1.0
