log10_x,L_reconstructed,wave1,wave2,wave3,wave4,wave5,envelope_pos,envelope_neg,dc_offset
2.00,2.285281,0.510782,0.335778,0.533957,0.569321,0.461985,6.626182,-6.626182,-0.670000
2.02,-0.976494,0.131850,-0.255293,-0.069280,-0.094371,0.398397,6.626182,-6.626182,-0.670000
2.04,-3.013148,-0.301004,-0.625211,-0.590330,-0.601193,-0.418915,6.626182,-6.626182,-0.670000
2.06,-3.598789,-0.610760,-0.453528,-0.411073,-0.108671,-0.443685,6.626182,-6.626182,-0.670000
2.08,0.859180,-0.670742,0.111032,0.255840,0.564491,0.370949,6.626182,-6.626182,-0.670000
2.10,1.809633,-0.456419,0.579409,0.619250,0.299318,0.483788,6.626182,-6.626182,-0.670000
2.12,-3.111470,-0.055441,0.545861,0.248045,-0.463402,-0.318647,6.626182,-6.626182,-0.670000
2.14,-0.779252,0.368210,0.039451,-0.417416,-0.455824,-0.518237,6.626182,-6.626182,-0.670000
2.16,1.532960,0.641279,-0.501135,-0.587696,0.309456,0.262621,6.626182,-6.626182,-0.670000
2.18,-2.214607,0.652093,-0.607603,-0.060793,0.560337,0.546628,6.626182,-6.626182,-0.670000
2.20,-0.014643,0.396230,-0.187723,0.538228,-0.120212,-0.203526,6.626182,-6.626182,-0.670000
2.22,0.648126,-0.021675,0.394776,0.498751,-0.600936,-0.568631,6.626182,-6.626182,-0.670000
2.24,-0.696659,-0.430715,0.635292,-0.132394,-0.082743,0.142052,6.626182,-6.626182,-0.670000
2.26,-3.750795,-0.663612,0.325474,-0.606480,0.572991,0.583988,6.626182,-6.626182,-0.670000
2.28,3.636857,-0.625120,-0.266292,-0.361099,0.276261,-0.078918,6.626182,-6.626182,-0.670000
2.30,-6.626182,-0.330981,-0.627377,0.312653,-0.479689,-0.592520,6.626182,-6.626182,-0.670000
2.32,0.147543,0.098514,-0.444985,0.615505,-0.438267,0.014861,6.626182,-6.626182,-0.670000
2.34,2.700905,0.487722,0.122885,0.188184,0.331672,0.594127,6.626182,-6.626182,-0.670000
2.36,-0.766547,0.677472,0.584303,-0.462380,0.550283,0.049369,6.626182,-6.626182,-0.670000
2.38,-1.455138,0.590166,0.539557,-0.564423,-0.145824,-0.588789,6.626182,-6.626182,-0.670000
2.40,0.546516,0.261508,0.027410,0.003108,-0.599533,-0.113022,6.626182,-6.626182,-0.670000
2.42,-0.561389,-0.174096,-0.508482,0.566952,-0.056657,0.576571,6.626182,-6.626182,-0.670000
2.44,-1.365703,-0.538502,-0.603891,0.458222,0.580398,0.175355,6.626182,-6.626182,-0.670000
2.46,-3.244636,-0.682684,-0.176168,-0.194097,0.252676,-0.557613,6.626182,-6.626182,-0.670000
2.48,2.311471,-0.547678,0.404165,-0.616158,-0.495061,-0.235637,6.626182,-6.626182,-0.670000
