log10_x,M_reconstructed,wave1,wave2,wave3,wave4,wave5,envelope_pos,envelope_neg
4.25,-0.002766,0.006139,-0.030265,-0.006563,0.012690,0.017217,0.145159,-0.145159
4.30,0.085951,0.047456,0.022144,0.012524,-0.006519,-0.010435,0.145159,-0.145159
4.35,-0.044657,-0.011501,-0.002992,-0.017629,-0.000493,-0.000606,0.145159,-0.145159
4.40,0.002101,-0.046157,-0.017651,0.021530,0.007442,0.011400,0.145159,-0.145159
4.45,0.029999,0.016716,0.029501,-0.023960,-0.013430,-0.017541,0.145159,-0.145159
4.50,0.072311,0.044268,-0.026654,0.024754,0.017685,0.016525,0.145159,-0.145159
4.55,-0.034753,-0.021717,0.010530,-0.023857,-0.019658,-0.008765,0.145159,-0.145159
4.60,-0.017637,-0.041814,0.010840,0.021330,0.019094,-0.002571,0.144283,-0.144283
4.65,-0.043684,0.026442,-0.026810,-0.017346,-0.016065,0.012859,0.144283,-0.144283
4.70,0.013153,0.038826,0.029424,0.012177,0.010964,-0.017899,0.144283,-0.144283
4.75,0.015147,-0.030829,-0.017381,-0.006176,-0.004447,0.015635,0.144283,-0.144283
4.80,0.008918,-0.035343,-0.003321,-0.000246,-0.002643,-0.006991,0.144283,-0.144283
4.85,0.111427,0.034822,0.022368,0.006652,0.009393,-0.004506,0.144283,-0.144283
4.90,0.041188,0.031409,-0.030273,-0.012603,-0.014930,0.014164,0.144283,-0.144283
4.95,0.081389,-0.038371,0.023097,0.017694,0.018540,-0.018042,0.144283,-0.144283
5.00,-0.030997,-0.027073,-0.004415,-0.021576,-0.019758,0.014558,0.157378,-0.157378
5.05,0.045103,0.041430,-0.016467,0.023984,0.018426,-0.005133,0.157378,-0.157378
5.10,-0.007402,0.022392,0.029145,-0.024753,-0.014716,-0.006387,0.157378,-0.157378
5.15,-0.085087,-0.043960,-0.027304,0.023832,0.009107,0.015300,0.157378,-0.157378
5.20,-0.051883,-0.017425,0.011862,-0.021283,-0.002322,-0.017970,0.157378,-0.157378
5.25,0.090975,0.045929,0.009490,0.017280,-0.004762,0.013307,0.157378,-0.157378
5.30,-0.017350,0.012236,-0.026114,-0.012096,0.011231,-0.003213,0.157378,-0.157378
5.35,-0.041675,-0.047311,0.029729,0.006086,-0.016252,-0.008191,0.157378,-0.157378
5.40,-0.039232,-0.006890,-0.018535,0.000339,0.019174,0.016253,0.157378,-0.157378
5.45,-0.022583,0.048090,-0.001893,-0.006741,-0.019623,-0.017682,0.157378,-0.157378
5.50,0.077938,0.001457,0.021378,0.012683,0.017539,0.011896,0.157378,-0.157378
5.55,-0.143210,-0.048254,-0.030213,-0.017759,-0.013191,-0.001256,0.157378,-0.157378
5.60,-0.040831,0.003995,0.023997,0.021621,0.007141,-0.009897,0.157378,-0.157378
5.65,-0.053182,0.047803,-0.005827,-0.024006,-0.000170,0.017012,0.157378,-0.157378
5.70,-0.036774,-0.009397,-0.015246,0.024752,-0.006823,-0.017184,0.157378,-0.157378
5.75,0.037259,-0.046741,0.028724,-0.023807,0.012936,0.010344,0.157378,-0.157378
5.80,-0.013605,0.014678,-0.027893,0.021235,-0.017380,0.000717,0.157378,-0.157378
5.85,0.007959,0.045083,0.013167,-0.017213,0.019580,-0.011485,0.157378,-0.157378
5.90,-0.026228,-0.019772,0.008118,0.012015,-0.019254,0.017567,0.157378,-0.157378
5.95,-0.082962,-0.042849,-0.025359,-0.005997,0.016442,-0.016480,0.157378,-0.157378
6.00,0.103728,0.024613,0.029967,-0.000432,-0.011509,0.008668,0.143210,-0.143210
6.05,0.007156,0.040068,-0.019647,0.006830,0.005091,0.002681,0.143210,-0.143210
6.10,-0.021937,-0.029140,-0.000461,-0.012763,0.001985,-0.012936,0.129344,-0.129344
6.15,0.013147,-0.036775,0.020339,0.017823,-0.008804,0.017912,0.129344,-0.129344
6.20,0.028482,0.033295,-0.030085,-0.021666,0.014487,-0.015579,0.129344,-0.129344
6.25,0.114447,0.033013,0.024844,0.024029,-0.018301,0.006888,0.129344,-0.129344
6.30,-0.002176,-0.037026,-0.007227,-0.024750,0.019752,0.004613,0.129344,-0.129344
6.35,-0.013678,-0.028830,-0.013990,0.023781,-0.018655,-0.014232,0.129344,-0.129344
6.40,0.082785,0.040283,0.028238,-0.021187,0.015150,0.018044,0.129344,-0.129344
6.45,-0.034848,0.024278,-0.028419,0.017146,-0.009690,-0.014492,0.129344,-0.129344
6.50,0.022164,-0.043026,0.014443,-0.011934,0.002980,0.005026,0.129344,-0.129344
6.55,0.121390,-0.019417,0.006729,0.005907,0.004116,0.006490,0.129344,-0.129344
6.60,0.013209,0.045220,-0.024548,0.000524,-0.010680,-0.015358,0.129344,-0.129344
6.65,-0.000506,0.014308,0.030139,-0.006919,0.015865,0.017959,0.138182,-0.138182
6.70,-0.112452,-0.046837,-0.020715,0.012842,-0.019004,-0.013231,0.138182,-0.138182
6.75,0.026968,-0.009016,0.000973,-0.017887,0.019689,0.003104,0.138182,-0.138182
6.80,0.009300,0.047855,0.019255,0.021711,-0.017834,0.008290,0.138182,-0.138182
6.85,-0.113389,0.003609,-0.029890,-0.024051,0.013677,-0.016301,0.138182,-0.138182
6.90,-0.041292,-0.048263,0.025635,0.024748,-0.007755,0.017660,0.138182,-0.138182
6.95,-0.055952,0.001844,-0.008610,-0.023755,0.000833,-0.011813,0.138182,-0.138182
7.00,0.102070,0.048055,-0.012704,0.021139,0.006197,0.001145,0.146588,-0.146588
7.05,-0.023032,-0.007274,0.027690,-0.017079,-0.012428,0.009990,0.146588,-0.146588
7.10,-0.076871,-0.047233,-0.028882,0.011853,0.017054,-0.017048,0.146588,-0.146588
7.15,0.047473,0.012611,0.015686,-0.005817,-0.019480,0.017150,0.146588,-0.146588
7.20,0.038388,0.045808,0.005324,-0.000617,0.019392,-0.010253,0.146588,-0.146588
7.25,-0.076859,-0.017787,-0.023682,0.007008,-0.016801,-0.000828,0.146588,-0.146588
7.30,-0.032930,-0.043798,0.030242,-0.012921,0.012042,0.011571,0.146588,-0.146588
7.35,0.061803,0.022735,-0.021737,0.017951,-0.005728,-0.017592,0.146588,-0.146588
7.40,0.014117,0.041229,0.002404,-0.021755,-0.001324,0.016435,0.146588,-0.146588
7.45,-0.014344,-0.027394,0.018127,0.024073,0.008205,-0.008571,0.146588,-0.146588
7.50,-0.037970,-0.038134,-0.029628,-0.024746,-0.014028,-0.002791,0.146588,-0.146588
7.55,0.115048,0.031702,0.026369,0.023729,0.018040,0.013013,0.156576,-0.156576
7.60,-0.109818,0.034552,-0.009975,-0.021091,-0.019724,-0.017925,0.156576,-0.156576
7.65,0.050884,-0.035606,-0.011389,0.017012,0.018863,0.015523,0.156576,-0.156576
7.70,-0.042147,-0.030529,0.027079,-0.011772,-0.015567,-0.006786,0.156576,-0.156576
7.75,0.039881,0.039056,-0.029279,0.005727,0.010262,-0.004720,0.156576,-0.156576
7.80,0.080849,0.026116,0.016894,0.000709,-0.003633,0.014300,0.156576,-0.156576
7.85,-0.038412,-0.042007,0.003907,-0.007097,-0.003465,-0.018045,0.156576,-0.156576
