log10_x,M_reconstructed,wave1,wave2,wave3,wave4,wave5,envelope_pos,envelope_neg
1.00,0.044211,0.044367,-0.029214,0.021607,0.016155,0.007893,0.129245,-0.129245
1.05,-0.068950,0.016481,0.016684,-0.017738,-0.019133,-0.016106,0.129245,-0.129245
1.10,0.053413,-0.046229,0.004158,0.012658,0.019642,0.017746,0.129245,-0.129245
1.15,-0.051825,-0.011258,-0.022928,-0.006713,-0.017616,-0.012144,0.129245,-0.129245
1.20,0.081449,0.047501,0.030276,0.000310,0.013316,0.001587,0.129245,-0.129245
1.25,-0.036493,0.005891,-0.022542,0.006115,-0.007298,0.009618,0.129245,-0.129245
1.30,-0.084504,-0.048167,0.003579,-0.012122,0.000338,-0.016898,0.129245,-0.129245
1.35,0.088634,-0.000448,0.017168,0.017301,0.006665,0.017282,0.129245,-0.129245
1.40,-0.014617,0.048217,-0.029362,-0.021298,-0.012808,-0.010615,0.129245,-0.129245
1.45,0.084552,-0.005000,0.026929,0.023840,0.017299,-0.000385,0.129245,-0.129245
1.50,-0.129245,-0.047652,-0.011082,-0.024753,-0.019557,0.011227,0.129245,-0.129245
1.55,0.063873,0.010384,-0.010287,0.023976,0.019291,-0.017488,0.129245,-0.129245
1.60,0.110727,0.046479,0.026530,-0.021561,-0.016535,0.016613,0.129245,-0.129245
1.65,-0.047511,-0.015635,-0.029558,0.017673,0.011646,-0.008958,0.129245,-0.129245
1.70,-0.054318,-0.044713,0.017861,-0.012578,-0.005253,-0.002352,0.129245,-0.129245
1.75,0.051507,0.020687,0.002734,0.006624,-0.001817,0.012702,0.129245,-0.129245
1.80,-0.023346,0.042375,-0.021966,-0.000217,0.008653,-0.017869,0.139196,-0.139196
1.85,0.033559,-0.025475,0.030256,-0.006205,-0.014372,0.015744,0.144919,-0.144919
1.90,-0.025050,-0.039497,-0.023474,0.012203,0.018236,-0.007194,0.144919,-0.144919
1.95,0.000352,0.029938,0.004998,-0.017367,-0.019747,-0.004291,0.144919,-0.144919
2.00,0.102020,0.036114,0.015968,0.021345,0.018710,0.014026,0.144919,-0.144919
2.05,-0.122745,-0.034018,-0.028979,-0.023865,-0.015258,-0.018037,0.144919,-0.144919
