log10_x,total,wave_1_gamma_14.1,wave_2_gamma_21.0,wave_3_gamma_25.0,wave_4_gamma_30.4,wave_5_gamma_32.9,wave_6_gamma_37.6,wave_7_gamma_40.9,wave_8_gamma_43.3,wave_9_gamma_48.0,wave_10_gamma_49.8
311.470,0.011991,0.029390,-0.007106,-0.021256,-0.018310,0.015644,0.015381,-0.009451,-0.001276,0.000855,0.008121
311.480,-0.047435,0.015603,-0.019987,-0.010919,-0.009210,0.005171,0.011561,-0.014014,-0.011738,-0.010100,-0.003803
311.490,-0.069115,0.000178,-0.028275,0.002942,0.004228,-0.008135,-0.000390,-0.007030,-0.011455,-0.009921,-0.011255
311.500,-0.042072,-0.015266,-0.030066,0.015853,0.015674,-0.016983,-0.012067,0.005746,-0.000686,0.001195,-0.005472
311.510,-0.000209,-0.029107,-0.024950,0.023650,0.019738,-0.016523,-0.015256,0.013788,0.010711,0.010994,0.006746
311.520,0.012086,-0.039892,-0.014100,0.023818,0.014504,-0.007007,-0.007714,0.010469,0.012303,0.008673,0.011031
311.530,-0.015861,-0.046488,-0.000011,0.016302,0.002438,0.006349,0.005255,-0.001476,0.002632,-0.003208,0.002345
311.540,-0.052923,-0.048204,0.014080,0.003528,-0.010776,0.016226,0.014527,-0.012205,-0.009448,-0.011553,-0.009098
311.550,-0.061192,-0.044858,0.024937,-0.010385,-0.018914,0.017210,0.013581,-0.012877,-0.012879,-0.007162,-0.009844
311.560,-0.035336,-0.036803,0.030064,-0.020947,-0.018143,0.008761,0.003082,-0.002939,-0.004520,0.005124,0.000986
311.570,-0.004437,-0.024883,0.028283,-0.024752,-0.008826,-0.004489,-0.009585,0.009420,0.007977,0.011762,0.010656
311.580,0.003360,-0.010351,0.020004,-0.020573,0.004648,-0.015278,-0.015509,0.014018,0.013172,0.005434,0.007796
311.590,-0.007387,0.005268,0.007128,-0.009756,0.015933,-0.017695,-0.010524,0.007066,0.006309,-0.006884,-0.004231
311.600,-0.006614,0.020334,-0.007385,0.004207,0.019713,-0.010413,0.001864,-0.005709,-0.006329,-0.011613,-0.011283
311.610,0.024041,0.033265,-0.020201,0.016814,0.014208,0.002576,0.012941,-0.013779,-0.013173,-0.003540,-0.005067
311.620,0.066489,0.042703,-0.028376,0.023996,0.002010,0.014153,0.014915,-0.010496,-0.007958,0.008436,0.007107
311.630,0.082315,0.047658,-0.030031,0.023438,-0.011135,0.017973,0.006398,0.001435,0.004542,0.011112,0.010924
311.640,0.052933,0.047609,-0.024786,0.015319,-0.019035,0.011943,-0.006619,0.012184,0.012885,0.001539,0.001896
311.650,0.000624,0.042561,-0.013846,0.002258,-0.017968,-0.000633,-0.014981,0.012894,0.009432,-0.009731,-0.009362
311.660,-0.031877,0.033044,0.000275,-0.011531,-0.008438,-0.012862,-0.012805,0.002979,-0.002655,-0.010273,-0.009611
311.670,-0.021557,0.020058,0.014334,-0.021601,0.005067,-0.018042,-0.001621,-0.009390,-0.012311,0.000509,0.001441
311.680,0.015725,0.004966,0.025098,-0.024702,0.016185,-0.013334,0.010702,-0.014022,-0.010697,0.010730,0.010799
311.690,0.043663,-0.010647,0.030096,-0.019834,0.019679,-0.001318,0.015498,-0.007101,0.000709,0.009123,0.007458
