log10_x,M_reconstructed,wave1,wave2,wave3,wave4,wave5,envelope_pos,envelope_neg
1.00,0.037176,0.044367,-0.029214,0.021607,0.016155,0.007893,0.135785,-0.135785
1.05,-0.070767,0.016481,0.016684,-0.017738,-0.019133,-0.016106,0.135785,-0.135785
1.10,0.038362,-0.046229,0.004158,0.012658,0.019642,0.017746,0.135785,-0.135785
1.15,-0.044709,-0.011258,-0.022928,-0.006713,-0.017616,-0.012144,0.135785,-0.135785
1.20,0.096936,0.047501,0.030276,0.000310,0.013316,0.001587,0.135785,-0.135785
1.25,-0.026493,0.005891,-0.022542,0.006115,-0.007298,0.009618,0.135785,-0.135785
1.30,-0.083065,-0.048167,0.003579,-0.012122,0.000338,-0.016898,0.135785,-0.135785
1.35,0.080965,-0.000448,0.017168,0.017301,0.006665,0.017282,0.135785,-0.135785
1.40,-0.029520,0.048217,-0.029362,-0.021298,-0.012808,-0.010615,0.135785,-0.135785
1.45,0.072551,-0.005000,0.026929,0.023840,0.017299,-0.000385,0.135785,-0.135785
1.50,-0.120042,-0.047652,-0.011082,-0.024753,-0.019557,0.011227,0.135785,-0.135785
1.55,0.054758,0.010384,-0.010287,0.023976,0.019291,-0.017488,0.137683,-0.137683
1.60,0.088984,0.046479,0.026530,-0.021561,-0.016535,0.016613,0.137683,-0.137683
1.65,-0.041481,-0.015635,-0.029558,0.017673,0.011646,-0.008958,0.137683,-0.137683
1.70,-0.054531,-0.044713,0.017861,-0.012578,-0.005253,-0.002352,0.137683,-0.137683
1.75,0.040385,0.020687,0.002734,0.006624,-0.001817,0.012702,0.137683,-0.137683
1.80,-0.011258,0.042375,-0.021966,-0.000217,0.008653,-0.017869,0.173239,-0.173239
1.85,0.072843,-0.025475,0.030256,-0.006205,-0.014372,0.015744,0.173239,-0.173239
1.90,-0.058397,-0.039497,-0.023474,0.012203,0.018236,-0.007194,0.173239,-0.173239
1.95,-0.050419,0.029938,0.004998,-0.017367,-0.019747,-0.004291,0.173239,-0.173239
2.00,0.124981,0.036114,0.015968,0.021345,0.018710,0.014026,0.173239,-0.173239
2.05,-0.078629,-0.034018,-0.028979,-0.023865,-0.015258,-0.018037,0.173239,-0.173239
2.10,0.061938,-0.032270,0.027554,0.024754,0.009837,0.014687,0.173239,-0.173239
2.15,-0.049810,0.037665,-0.012403,-0.023953,-0.003146,-0.005345,0.173239,-0.173239
2.20,0.009042,0.028015,-0.008927,0.021515,-0.003951,-0.006179,0.173239,-0.173239
2.25,0.018780,-0.040830,0.025810,-0.017608,0.010537,0.015181,0.173239,-0.173239
2.30,-0.173239,-0.023402,-0.029835,0.012498,-0.015764,-0.017988,0.173239,-0.173239
2.35,0.114053,0.043474,0.018998,-0.006534,0.018957,0.013455,0.173239,-0.173239
2.40,0.000234,0.018490,0.001303,0.000124,-0.019703,-0.003431,0.173239,-0.173239
