log10_x,mertens_30,mertens_100,mertens_1000,threshold_1,threshold_neg1
28.3,-0.002640,-0.007251,-0.000432,1.0,-1.0
28.4,-0.039285,-0.042374,-0.043744,1.0,-1.0
28.5,-0.044371,-0.029863,-0.018082,1.0,-1.0
28.6,0.082576,0.093988,0.121696,1.0,-1.0
28.7,0.010823,0.012038,0.010199,1.0,-1.0
28.8,0.042190,0.014797,0.016253,1.0,-1.0
28.9,-0.057460,-0.070065,-0.073948,1.0,-1.0
29.0,0.032961,0.023752,0.001707,1.0,-1.0
29.1,-0.033491,-0.013297,-0.005218,1.0,-1.0
29.2,-0.017850,-0.035941,-0.054507,1.0,-1.0
29.3,-0.080831,-0.050293,-0.058198,1.0,-1.0
29.4,-0.005254,-0.023797,-0.025682,1.0,-1.0
29.5,0.048246,0.059280,0.066438,1.0,-1.0
29.6,0.055399,0.051331,0.064590,1.0,-1.0
29.7,-0.026989,-0.007710,0.002311,1.0,-1.0
29.8,0.072207,0.051915,0.053752,1.0,-1.0
29.9,0.027543,0.002903,0.017394,1.0,-1.0
30.0,0.075320,0.097426,0.096110,1.0,-1.0
30.1,-0.043655,-0.026712,-0.007704,1.0,-1.0
30.2,-0.104054,-0.079195,-0.086996,1.0,-1.0
30.3,-0.042835,-0.050972,-0.065098,1.0,-1.0
30.4,-0.047998,-0.057251,-0.056363,1.0,-1.0
30.5,0.029594,0.034851,0.032642,1.0,-1.0
30.6,0.043910,0.065244,0.054626,1.0,-1.0
30.7,-0.001790,0.008990,0.029156,1.0,-1.0
30.8,0.002103,-0.015414,-0.003716,1.0,-1.0
30.9,0.019538,0.051505,0.050231,1.0,-1.0
31.0,-0.008506,-0.024148,-0.033870,1.0,-1.0
31.1,0.058966,0.064695,0.059413,1.0,-1.0
31.2,-0.049995,-0.060290,-0.077284,1.0,-1.0
31.3,-0.028910,-0.047078,-0.049424,1.0,-1.0
31.4,-0.066646,-0.098830,-0.107135,1.0,-1.0
31.5,0.032220,0.054071,0.041289,1.0,-1.0
