log10_x,total,wave_1_gamma_14.1,wave_2_gamma_21.0,wave_3_gamma_25.0,wave_4_gamma_30.4,wave_5_gamma_32.9,wave_6_gamma_37.6,wave_7_gamma_40.9,wave_8_gamma_43.3,wave_9_gamma_48.0,wave_10_gamma_49.8
4.470,0.008418,0.040737,0.011107,-0.004065,-0.016552,-0.005175,-0.006824,0.002758,-0.001952,-0.009036,-0.002578
4.480,0.041738,0.046878,-0.003277,0.009888,-0.005698,0.008132,-0.015039,0.012801,0.009918,-0.010785,-0.011080
4.490,0.081797,0.048098,-0.016908,0.020652,0.007840,0.016982,-0.012675,0.012296,0.012708,-0.000645,-0.006553
4.500,0.096594,0.044268,-0.026654,0.024754,0.017685,0.016525,-0.001395,0.001660,0.003865,0.010207,0.005680
4.510,0.065640,0.035790,-0.030276,0.020870,0.019200,0.007011,0.010866,-0.010344,-0.008516,0.009806,0.011233
4.520,0.002922,0.023554,-0.026942,0.010254,0.011671,-0.006345,0.015484,-0.013825,-0.013102,-0.001404,0.003578
4.530,-0.051571,0.008845,-0.017417,-0.003670,-0.001355,-0.016224,0.009210,-0.005915,-0.005694,-0.011067,-0.008285
4.540,-0.066729,-0.006793,-0.003890,-0.016410,-0.013743,-0.017211,-0.003542,0.006869,0.006927,-0.008530,-0.010405
4.550,-0.046951,-0.021717,0.010530,-0.023857,-0.019658,-0.008765,-0.013802,0.013993,0.013206,0.003410,-0.000291
4.560,-0.022880,-0.034362,0.022531,-0.023607,-0.016313,0.004485,-0.014354,0.009587,0.007396,0.011591,0.010166
4.570,-0.016841,-0.043398,0.029355,-0.015742,-0.005284,0.015276,-0.004809,-0.002718,-0.005184,0.006994,0.008669
4.580,-0.021331,-0.047878,0.029435,-0.002799,0.008234,0.017696,0.008119,-0.012784,-0.013019,-0.005313,-0.003022
4.590,-0.014080,-0.047331,0.022751,0.011047,0.017873,0.010417,0.015336,-0.012316,-0.008936,-0.011763,-0.011159
4.600,0.008851,-0.041814,0.010840,0.021330,0.019094,-0.002571,0.011765,-0.001700,0.003328,-0.005246,-0.006174
4.610,0.022338,-0.031907,-0.003562,0.024731,0.011320,-0.014150,-0.000081,0.010317,0.012545,0.007054,0.006071
4.620,-0.000404,-0.018650,-0.017145,0.020155,-0.001786,-0.017974,-0.011870,0.013833,0.010278,0.011578,0.011177
4.630,-0.051421,-0.003435,-0.026789,0.009076,-0.014050,-0.011946,-0.015310,0.005952,-0.001398,0.003338,0.003141
4.640,-0.085914,0.012141,-0.030278,-0.004930,-0.019697,0.000628,-0.007981,-0.006834,-0.011794,-0.008581,-0.008589
4.650,-0.062600,0.026442,-0.026810,-0.017346,-0.016065,0.012859,0.004963,-0.013988,-0.011393,-0.011041,-0.010219
4.660,0.012866,0.037967,-0.017182,-0.024166,-0.004867,0.018042,0.014415,-0.009617,-0.000563,-0.001330,0.000167
4.670,0.088063,0.045505,-0.003606,-0.023191,0.008624,0.013336,0.013728,0.002678,0.010783,0.009848,0.010357
4.680,0.110651,0.048266,0.010798,-0.014734,0.018053,0.001322,0.003384,0.012767,0.012258,0.010169,0.008368
4.690,0.076045,0.045959,0.022722,-0.001525,0.018978,-0.011417,-0.009340,0.012336,0.002512,-0.000720,-0.003461
4.700,0.028171,0.038826,0.029424,0.012177,0.010964,-0.017899,-0.015494,0.001741,-0.009533,-0.010815,-0.011220
4.710,0.013484,0.027617,0.029366,0.021950,-0.002215,-0.014571,-0.010750,-0.010289,-0.012852,-0.008988,-0.005786
4.720,0.035614,0.013509,0.022561,0.024643,-0.014350,-0.003257,0.001556,-0.013841,-0.004405,0.002747,0.006452
4.730,0.055464,-0.002018,0.010572,0.019386,-0.019726,0.009842,0.012767,-0.005989,0.008074,0.011454,0.011103
4.740,0.033621,-0.017334,-0.003846,0.007875,-0.015810,0.017546,0.014998,0.006798,0.013162,0.007534,0.002698
4.750,-0.029906,-0.030829,-0.017381,-0.006176,-0.004447,0.015635,0.006679,0.013983,0.006201,-0.004691,-0.008879
4.760,-0.096968,-0.041087,-0.026922,-0.018235,0.009011,0.005154,-0.006338,0.009647,-0.006437,-0.011745,-0.010016
4.770,-0.127590,-0.047032,-0.030277,-0.024411,0.018224,-0.008151,-0.014897,-0.002638,-0.013182,-0.005852,0.000625
4.780,-0.112125,-0.048038,-0.026675,-0.022713,0.018854,-0.016989,-0.012977,-0.012749,-0.007860,0.006492,0.010531
4.790,-0.070440,-0.044000,-0.016945,-0.013687,0.010602,-0.016516,-0.001929,-0.012356,0.004657,0.011679,0.008054
4.800,-0.026841,-0.035343,-0.003321,-0.000246,-0.002643,-0.006991,0.010476,-0.001781,0.012911,0.003992,-0.003894
4.810,0.008846,-0.022975,0.011066,0.013274,-0.014644,0.006366,0.015512,0.010261,0.009346,-0.008097,-0.011263
4.820,0.037778,-0.008195,0.022910,0.022512,-0.019746,0.016234,0.009637,0.013848,-0.002775,-0.011259,-0.005388
4.830,0.058546,0.007446,0.029491,0.024488,-0.015548,0.017204,-0.003017,0.006025,-0.012355,-0.002010,0.006822
4.840,0.064414,0.022305,0.029295,0.018564,-0.004026,0.008746,-0.013549,-0.006762,-0.010625,0.009455,0.011010
4.850,0.053781,0.034822,0.022368,0.006652,0.009393,-0.004506,-0.014550,-0.013978,0.000832,0.010497,0.002251
4.860,0.037024,0.043683,0.010302,-0.007406,0.018387,-0.015288,-0.005316,-0.009676,0.011527,-0.000033,-0.009155
4.870,0.027383,0.047957,-0.004131,-0.019075,0.018720,-0.017691,0.007657,0.002598,0.011670,-0.010526,-0.009796
4.880,0.025600,0.047197,-0.017615,-0.024591,0.010235,-0.010398,0.015244,0.012732,0.001130,-0.009416,0.001082
4.890,0.018579,0.041480,-0.027052,-0.022174,-0.003070,0.002593,0.012109,0.012375,-0.010445,0.002074,0.010688
4.900,-0.003410,0.031409,-0.030273,-0.012603,-0.014930,0.014164,0.000456,0.001822,-0.012458,0.011278,0.007726
4.910,-0.030340,0.018039,-0.026539,0.001033,-0.019757,0.017972,-0.011517,-0.010233,-0.003067,0.008049,-0.004321
4.920,-0.038396,0.002776,-0.016707,0.014335,-0.015278,0.011930,-0.015389,-0.013856,0.009132,-0.004053,-0.011287
4.930,-0.015249,-0.012779,-0.003036,0.023014,-0.003602,-0.000651,-0.008436,-0.006062,0.012971,-0.011687,-0.004981
4.940,0.022362,-0.026992,0.011332,0.024268,0.009770,-0.012874,0.004451,0.006726,0.004936,-0.006438,0.007182
4.950,0.040288,-0.038371,0.023097,0.017694,0.018540,-0.018042,0.014207,0.013973,-0.007617,0.005908,0.010899
4.960,0.018521,-0.045721,0.029554,0.005412,0.018577,-0.013321,0.013970,0.009706,-0.013198,0.011741,0.001801
4.970,-0.029235,-0.048271,0.029221,-0.008616,0.009864,-0.001300,0.003906,-0.002558,-0.006697,0.004631,-0.009416
4.980,-0.068334,-0.045753,0.022174,-0.019865,-0.003496,0.011434,-0.008905,-0.012714,0.005935,-0.007584,-0.009560
4.990,-0.075027,-0.038430,0.010032,-0.024705,-0.015209,0.017901,-0.015453,-0.012395,0.013133,-0.011439,0.001537
5.000,-0.054804,-0.027073,-0.004415,-0.021576,-0.019758,0.014558,-0.011130,-0.001862,0.008309,-0.002684,0.010827
5.010,-0.030452,-0.012873,-0.017847,-0.011486,-0.015000,0.003235,0.001021,0.010205,-0.004121,0.009030,0.007386
5.020,-0.015642,0.002678,-0.027179,0.002309,-0.003177,-0.009860,0.012454,0.013863,-0.012779,0.010789,-0.004740
5.030,-0.003518,0.017948,-0.030266,0.015359,0.010143,-0.017552,0.015127,0.006099,-0.009738,0.000655,-0.011292
5.040,0.019369,0.031334,-0.026399,0.023454,0.018685,-0.015624,0.007159,-0.006691,0.002217,-0.010202,-0.004566
5.050,0.052288,0.041430,-0.016467,0.023984,0.018426,-0.005133,-0.005845,-0.013967,0.012143,-0.009812,0.007529
5.060,0.077505,0.047176,-0.002751,0.016776,0.009488,0.008171,-0.014737,-0.009736,0.010953,0.001394,0.010771
5.070,0.078201,0.047969,0.011598,0.004157,-0.003920,0.016997,-0.013264,0.002518,-0.000264,0.011063,0.001347
5.080,0.056102,0.043725,0.023281,-0.009803,-0.015481,0.016507,-0.002460,0.012697,-0.011239,0.008537,-0.009661
5.090,0.028977,0.034890,0.029615,-0.020601,-0.019750,0.006970,0.010074,0.012414,-0.011926,-0.003401,-0.009309
5.100,0.011811,0.022392,0.029145,-0.024753,-0.014716,-0.006387,0.015522,0.001903,-0.001695,-0.011589,0.001989
5.110,0.003516,0.007543,0.021978,-0.020920,-0.002750,-0.016243,0.010052,-0.010176,0.010087,-0.007002,0.010948
5.120,-0.006748,-0.008098,0.009761,-0.010338,0.010511,-0.017197,-0.002489,-0.013871,0.012635,0.005304,0.007033
5.130,-0.023100,-0.022889,-0.004698,0.003579,0.018821,-0.008726,-0.013279,-0.006136,0.003617,0.011763,-0.005152
5.140,-0.037030,-0.035276,-0.018078,0.016341,0.018266,0.004527,-0.014728,0.006655,-0.008713,0.005255,-0.011279
5.150,-0.039137,-0.043960,-0.027304,0.023832,0.009107,0.015300,-0.005818,0.013962,-0.013066,-0.007046,-0.004143
5.160,-0.033529,-0.048028,-0.030257,0.023635,-0.004342,0.017687,0.007185,0.009765,-0.005458,-0.011580,0.007864
5.170,-0.035784,-0.047054,-0.026258,0.015813,-0.015745,0.010380,0.015134,-0.002478,0.007146,-0.003348,0.010624
5.180,-0.054388,-0.041139,-0.016225,0.002891,-0.019732,-0.002615,0.012437,-0.012679,0.013209,0.008574,0.000891
5.190,-0.076042,-0.030904,-0.002465,-0.010964,-0.014424,-0.014178,0.000992,-0.012433,0.007180,0.011045,-0.009890
5.200,-0.073356,-0.017425,0.011862,-0.021283,-0.002322,-0.017970,-0.011151,-0.001943,-0.005422,0.001340,-0.009042
5.210,-0.030194,-0.002117,0.023463,-0.024735,0.010874,-0.011913,-0.015450,0.010148,-0.013060,-0.009842,0.002438
5.220,0.039630,0.013414,0.029673,-0.020208,0.018948,0.000673,-0.008882,0.013878,-0.008743,-0.010174,0.011051
5.230,0.099490,0.027537,0.029066,-0.009163,0.018097,0.012890,0.003934,0.006173,0.003578,0.000710,0.006669
5.240,0.117394,0.038768,0.021780,0.004839,0.008722,0.018042,0.013983,-0.006619,0.012624,0.010811,-0.005555
5.250,0.089343,0.045929,0.009490,0.017280,-0.004762,0.013307,0.014196,-0.013956,0.010113,0.008995,-0.011247
5.260,0.039230,0.048267,-0.004981,0.024146,-0.016002,0.001278,0.004423,-0.009794,-0.001655,-0.002737,-0.003714
5.270,-0.001899,0.045538,-0.018307,0.023223,-0.019705,-0.011451,-0.008461,0.002438,-0.011908,-0.011452,0.008186
5.280,-0.017695,0.038027,-0.027427,0.014809,-0.014126,-0.017904,-0.015393,0.012661,-0.011260,-0.007542,0.010460
5.290,-0.012775,0.026524,-0.030245,0.001617,-0.001893,-0.014545,-0.011498,0.012452,-0.000304,0.004682,0.000434
5.300,-0.002916,0.012236,-0.026114,-0.012096,0.011231,-0.003213,0.000485,0.001983,0.010930,0.011744,-0.010103
5.310,-0.001016,-0.003337,-0.015983,-0.021907,0.019066,0.009879,0.012127,-0.010120,0.012159,0.005861,-0.008760
5.320,-0.009904,-0.018560,-0.002179,-0.024651,0.017919,0.017557,0.015238,-0.013885,0.002257,-0.006484,0.002884
5.330,-0.024040,-0.031833,0.012125,-0.019443,0.008332,0.015612,0.007631,-0.006209,-0.009711,-0.011681,0.011136
