log10_x,pi_100,pi_1000,pi_10000,zero_line
217.4,-0.014997,-0.014560,-0.012854,0.0
217.6,0.041762,0.042619,0.041907,0.0
217.8,0.017359,0.017177,0.016601,0.0
218.0,0.029287,0.024062,0.024122,0.0
218.2,-0.009106,-0.009044,-0.009755,0.0
218.4,0.007754,0.005023,0.004684,0.0
218.6,0.036668,0.038327,0.038569,0.0
218.8,0.003627,0.005113,0.004314,0.0
219.0,0.021173,0.018960,0.018313,0.0
219.2,0.018821,0.017995,0.017678,0.0
219.4,0.012920,0.012509,0.013928,0.0
219.6,-0.021919,-0.021892,-0.021290,0.0
219.8,-0.010176,-0.008357,-0.008393,0.0
220.0,-0.006382,-0.004444,-0.003413,0.0
220.2,0.014058,0.010544,0.011210,0.0
220.4,0.000819,0.001156,0.001651,0.0
220.6,-0.038433,-0.038850,-0.038197,0.0
220.8,-0.018923,-0.014294,-0.015702,0.0
221.0,-0.032915,-0.033939,-0.033420,0.0
221.2,-0.021221,-0.020120,-0.019532,0.0
221.4,-0.017625,-0.019004,-0.019608,0.0
221.6,-0.012113,-0.015824,-0.017624,0.0
221.8,-0.022540,-0.019327,-0.018411,0.0
222.0,0.006107,0.005498,0.005595,0.0
222.2,-0.015285,-0.021206,-0.021655,0.0
222.4,0.018007,0.016971,0.015904,0.0
222.6,0.019049,0.024779,0.024576,0.0
222.8,0.014608,0.014019,0.014090,0.0
223.0,-0.010947,-0.008092,-0.008441,0.0
223.2,-0.002365,-0.005272,-0.005259,0.0
223.4,0.017034,0.016567,0.016516,0.0
223.6,0.010754,0.008976,0.009879,0.0
223.8,0.045261,0.042843,0.042388,0.0
224.0,-0.014400,-0.009485,-0.010100,0.0
224.2,0.025812,0.021000,0.021297,0.0
224.4,-0.000165,-0.000309,0.000297,0.0
224.6,0.009935,0.010764,0.011250,0.0
224.8,0.009996,0.009211,0.009215,0.0
225.0,0.008233,0.007409,0.007748,0.0
225.2,-0.016884,-0.018630,-0.017575,0.0
225.4,0.002895,-0.002088,-0.002113,0.0
225.6,-0.021321,-0.022906,-0.022134,0.0
225.8,-0.022456,-0.017630,-0.017490,0.0
226.0,-0.017850,-0.014772,-0.013696,0.0
226.2,-0.018647,-0.016066,-0.015510,0.0
226.4,-0.004512,-0.004718,-0.003781,0.0
226.6,-0.018475,-0.014724,-0.014858,0.0
226.8,-0.012346,-0.014540,-0.015162,0.0
227.0,-0.046313,-0.044335,-0.042757,0.0
227.2,0.020102,0.016529,0.016620,0.0
227.4,-0.016257,-0.012312,-0.012867,0.0
