log10_x,5_waves,10_waves,20_waves,50_waves,100_waves,500_waves
8.50,-0.029668,-0.021117,-0.050921,-0.050070,-0.056274,-0.051944
8.55,0.076953,0.065042,0.044963,0.050084,0.023327,0.032599
8.60,-0.037038,-0.037673,-0.027521,-0.008152,-0.006087,0.000245
8.65,-0.027656,-0.018602,-0.029162,-0.037325,-0.039481,-0.029837
8.70,0.002919,-0.003420,-0.028481,-0.043910,-0.052932,-0.058285
8.75,0.062484,0.056688,0.059730,0.040253,0.048541,0.048401
8.80,-0.044321,-0.057749,-0.034323,-0.037503,-0.046312,-0.062483
8.85,-0.029030,-0.059634,-0.055772,-0.070093,-0.061644,-0.070575
8.90,0.033952,0.045217,0.027769,0.013818,0.010694,0.024408
8.95,0.016734,0.068743,0.072372,0.101206,0.088450,0.085419
9.00,-0.004668,0.001339,-0.022273,0.002909,-0.014406,-0.018173
9.05,-0.062205,-0.084593,-0.110999,-0.133176,-0.143855,-0.150820
9.10,0.058919,0.081611,0.081704,0.086926,0.080047,0.085260
9.15,0.020305,0.041658,0.036343,0.050227,0.046794,0.069605
9.20,-0.044503,-0.076903,-0.047144,-0.047122,-0.050446,-0.068335
9.25,-0.016599,-0.054441,-0.042355,-0.014733,-0.018126,-0.009137
9.30,0.043216,0.028436,0.034190,0.019461,0.036347,0.052062
9.35,0.006763,0.005792,0.034626,0.060186,0.075773,0.073420
9.40,-0.023704,-0.000833,0.006391,0.044096,0.041262,0.042977
9.45,-0.037165,-0.013534,-0.007979,-0.007344,-0.015643,-0.013403
9.50,0.062407,0.062364,0.037426,0.048221,0.046077,0.034234
9.55,0.008601,0.019219,0.004510,-0.019964,-0.038441,-0.024587
9.60,-0.064437,-0.047484,-0.047731,-0.053518,-0.062021,-0.060570
9.65,0.021304,0.003377,0.000765,0.014751,0.032734,0.021057
9.70,0.029791,0.011144,0.050417,0.019897,0.025232,0.039724
9.75,-0.000113,0.004758,-0.003156,0.012103,0.008374,-0.002812
9.80,-0.033029,-0.050851,-0.069074,-0.100450,-0.094198,-0.120192
9.85,-0.016250,-0.034435,-0.005198,-0.043229,-0.060218,-0.067744
9.90,0.066217,0.098566,0.110996,0.091291,0.105139,0.113202
9.95,-0.012220,0.009242,0.002390,0.000757,0.017363,0.024443
10.00,-0.075403,-0.106805,-0.128268,-0.119374,-0.132842,-0.139056
10.05,0.072887,0.058911,0.059730,0.059762,0.021284,0.032872
10.10,-0.019197,0.005477,0.014511,0.004207,-0.027245,-0.038969
10.15,0.026734,0.041345,0.037700,0.066640,0.083773,0.103983
10.20,-0.062582,-0.061955,-0.059286,-0.083126,-0.079663,-0.091375
10.25,0.016550,0.012334,0.001478,0.013635,0.017998,0.024425
10.30,0.074773,0.067586,0.062116,0.082560,0.073415,0.072490
10.35,-0.078036,-0.064522,-0.066049,-0.065406,-0.051125,-0.015939
10.40,0.001615,0.009325,0.007054,-0.004107,-0.011621,-0.005635
10.45,0.021392,-0.020870,-0.006744,0.006911,-0.000274,-0.024624
10.50,0.026770,-0.006976,0.010174,0.021551,0.031575,0.034685
10.55,-0.032760,-0.009128,-0.010263,-0.004780,0.000686,-0.008536
10.60,-0.018591,0.000944,0.000852,0.015846,0.020731,-0.001555
10.65,0.010612,0.010709,0.021239,-0.009982,0.015755,0.006420
10.70,0.076665,0.104826,0.084080,0.107762,0.121838,0.125784
10.75,-0.110556,-0.088527,-0.101093,-0.104664,-0.102767,-0.111367
10.80,0.036518,0.018058,0.008384,0.024888,0.022092,0.003759
10.85,0.030202,0.020308,-0.013954,-0.007137,-0.003880,0.028529
10.90,-0.018959,-0.018896,-0.020598,-0.015306,-0.031033,-0.030136
10.95,0.020115,-0.010173,0.014758,0.001235,-0.006904,-0.001976
