n_zeros,mertens,liouville,skewes
8100,1.814002,3161.5534,0.312976
8200,1.818470,3198.5460,0.313471
8300,1.822888,3235.5171,0.313961
8400,1.827258,3272.4671,0.314444
8500,1.831582,3309.3960,0.314922
8600,1.835859,3346.3044,0.315394
8700,1.840091,3383.1923,0.315860
8800,1.844279,3420.0601,0.316321
8900,1.848425,3456.9081,0.316777
9000,1.852528,3493.7364,0.317228
9100,1.856590,3530.5453,0.317674
9200,1.860611,3567.3352,0.318114
9300,1.864593,3604.1061,0.318550
9400,1.868536,3640.8583,0.318982
9500,1.872441,3677.5921,0.319409
9600,1.876308,3714.3077,0.319831
9700,1.880140,3751.0053,0.320249
9800,1.883935,3787.6850,0.320663
9900,1.887695,3824.3471,0.321072
10000,1.891421,3860.9919,0.321477
20000,2.156321,7460.0420,0.349366
30000,2.318401,10975.5159,0.365609
40000,2.436518,14439.4937,0.377095
50000,2.529893,17866.4817,0.385981
60000,2.607314,21264.7470,0.393225
70000,2.673557,24639.6171,0.399337
80000,2.731515,27994.8025,0.404622
90000,2.783080,31333.0306,0.409277
100000,2.829555,34656.3876,0.413435
110000,2.871880,37966.5188,0.417192
120000,2.910752,41264.7533,0.420617
130000,2.946707,44552.1867,0.423765
140000,2.980163,47829.7367,0.426676
150000,3.011454,51098.1826,0.429384
160000,3.040849,54358.1943,0.431914
170000,3.068572,57610.3535,0.434289
180000,3.094807,60855.1695,0.436527
190000,3.119709,64093.0924,0.438642
200000,3.143412,67324.5220,0.440646
210000,3.166027,70549.8162,0.442552
220000,3.187654,73769.2970,0.444368
230000,3.208377,76983.2555,0.446102
240000,3.228271,80191.9562,0.447761
250000,3.247401,83395.6403,0.449351
260000,3.265825,86594.5289,0.450878
270000,3.283595,89788.8250,0.452347
280000,3.300756,92978.7158,0.453761
290000,3.317351,96164.3745,0.455126
300000,3.333416,99345.9618,0.456443
310000,3.348985,102523.6269,0.457716
320000,3.364089,105697.5091,0.458949
330000,3.378755,108867.7384,0.460142
340000,3.393008,112034.4365,0.461300
350000,3.406872,115197.7177,0.462424
360000,3.420368,118357.6893,0.463516
370000,3.433516,121514.4525,0.464577
380000,3.446333,124668.1024,0.465609
390000,3.458836,127818.7293,0.466615
400000,3.471040,130966.4183,0.467594
410000,3.482961,134111.2501,0.468549
420000,3.494610,137253.3013,0.469481
430000,3.506001,140392.6447,0.470390
440000,3.517145,143529.3494,0.471278
450000,3.528053,146663.4814,0.472146
460000,3.538735,149795.1033,0.472994
470000,3.549199,152924.2753,0.473824
480000,3.559456,156051.0544,0.474637
490000,3.569513,159175.4956,0.475432
500000,3.579378,162297.6511,0.476211
510000,3.589059,165417.5711,0.476974
520000,3.598563,168535.3039,0.477722
530000,3.607895,171650.8954,0.478456
540000,3.617063,174764.3903,0.479176
550000,3.626072,177875.8309,0.479882
560000,3.634927,180985.2584,0.480576
570000,3.643635,184092.7121,0.481257
580000,3.652199,187198.2301,0.481926
590000,3.660625,190301.8491,0.482584
600000,3.668917,193403.6042,0.483230
610000,3.677080,196503.5297,0.483865
620000,3.685118,199601.6584,0.484490
630000,3.693033,202698.0221,0.485105
640000,3.700831,205792.6515,0.485710
650000,3.708515,208885.5764,0.486305
660000,3.716088,211976.8255,0.486891
670000,3.723553,215066.4267,0.487468
680000,3.730913,218154.4069,0.488037
690000,3.738172,221240.7924,0.488597
700000,3.745332,224325.6083,0.489149
710000,3.752396,227408.8794,0.489693
720000,3.759367,230490.6295,0.490229
730000,3.766247,233570.8816,0.490758
740000,3.773038,236649.6585,0.491279
750000,3.779743,239726.9818,0.491793
760000,3.786364,242802.8728,0.492301
770000,3.792903,245877.3522,0.492802
780000,3.799362,248950.4401,0.493296
790000,3.805743,252022.1561,0.493783
800000,3.812049,255092.5191,0.494265
810000,3.818280,258161.5477,0.494740
820000,3.824439,261229.2600,0.495210
830000,3.830527,264295.6735,0.495673
840000,3.836546,267360.8053,0.496131
850000,3.842498,270424.6723,0.496584
860000,3.848384,273487.2907,0.497031
870000,3.854206,276548.6764,0.497473
880000,3.859964,279608.8450,0.497910
890000,3.865661,282667.8115,0.498342
900000,3.871298,285725.5908,0.498769
910000,3.876875,288782.1974,0.499191
920000,3.882395,291837.6452,0.499608
930000,3.887859,294891.9483,0.500021
940000,3.893267,297945.1199,0.500429
950000,3.898621,300997.1734,0.500833
960000,3.903922,304048.1215,0.501233
970000,3.909170,307097.9769,0.501628
980000,3.914368,310146.7520,0.502020
990000,3.919516,313194.4588,0.502407
1000000,3.924615,316241.1091,0.502790
1010000,3.929666,319286.7144,0.503170
1020000,3.934669,322331.2862,0.503546
1030000,3.939626,325374.8355,0.503918
1040000,3.944538,328417.3732,0.504286
1050000,3.949406,331458.9099,0.504651
1060000,3.954229,334499.4560,0.505012
1070000,3.959010,337539.0218,0.505370
1080000,3.963749,340577.6174,0.505724
1090000,3.968446,343615.2525,0.506075
1100000,3.973103,346651.9367,0.506423
1110000,3.977719,349687.6797,0.506767
1120000,3.982297,352722.4905,0.507109
1130000,3.986835,355756.3784,0.507447
1140000,3.991336,358789.3523,0.507783
1150000,3.995800,361821.4209,0.508115
1160000,4.000227,364852.5929,0.508445
1170000,4.004618,367882.8767,0.508771
1180000,4.008974,370912.2806,0.509095
1190000,4.013294,373940.8128,0.509416
1200000,4.017581,376968.4813,0.509734
