################################################################
#  WORST-CASE GAMMA SEARCH                                     #
#                                                              #
#  For each N: sample diverse IC classes, measure gamma.       #
#  Report the MAXIMUM gamma found.                             #
#  If max gamma < 2 at all N: subcritical transfer.            #
################################################################

  N     IC_type          alpha  phase   t      gamma    max_eta   E_tot     Omega
  3     spectral_decay   2.0    0.7    0.0100   +2.623    0.3438  6.71e-01  2.28e+00
  3     spectral_decay   2.0    0.7    0.0500   +2.609    2.0442  6.69e-01  2.27e+00
  3     spectral_decay   2.0    1.1    0.0000  -999.000    0.0000  6.96e-01  2.06e+00
  3     spectral_decay   2.0    1.1    0.0100   +0.510    0.2591  6.96e-01  2.06e+00
  3     spectral_decay   2.0    1.1    0.0500   +0.509    1.5501  6.94e-01  2.05e+00
  3     spectral_decay   2.0    2.3    0.0000  -999.000    0.0000  6.86e-01  2.19e+00
  3     spectral_decay   2.0    2.3    0.0100   +1.270    0.4165  6.85e-01  2.19e+00
  3     spectral_decay   2.0    2.3    0.0500   +1.259    2.4740  6.83e-01  2.18e+00
  3     spectral_decay   2.0    3.7    0.0000  -999.000    0.0000  5.17e-01  1.88e+00
  3     spectral_decay   2.0    3.7    0.0100   +0.681    0.2913  5.17e-01  1.87e+00
  3     spectral_decay   2.0    3.7    0.0500   +0.669    1.7396  5.15e-01  1.86e+00
  3     spectral_decay   3.0    0.3    0.0000  -999.000    0.0000  3.13e-01  7.19e-01
  3     spectral_decay   3.0    0.3    0.0100   +0.357    0.2927  3.12e-01  7.19e-01
  3     spectral_decay   3.0    0.3    0.0500   +0.356    1.7503  3.12e-01  7.17e-01
  3     spectral_decay   3.0    0.7    0.0000  -999.000    0.0000  3.05e-01  6.71e-01
  3     spectral_decay   3.0    0.7    0.0100   +1.067    0.3505  3.05e-01  6.71e-01
  3     spectral_decay   3.0    0.7    0.0500   +1.059    2.0903  3.04e-01  6.69e-01
  3     spectral_decay   3.0    1.1    0.0000  -999.000    0.0000  3.99e-01  6.96e-01
  3     spectral_decay   3.0    1.1    0.0100   -0.165    0.2037  3.99e-01  6.96e-01
  3     spectral_decay   3.0    1.1    0.0500   -0.166    1.2214  3.98e-01  6.94e-01
  3     spectral_decay   3.0    2.3    0.0000  -999.000    0.0000  3.18e-01  6.86e-01
  3     spectral_decay   3.0    2.3    0.0100   +0.256    0.3806  3.18e-01  6.85e-01
  3     spectral_decay   3.0    2.3    0.0500   +0.252    2.2696  3.17e-01  6.83e-01
  3     spectral_decay   3.0    3.7    0.0000  -999.000    0.0000  2.29e-01  5.17e-01
  3     spectral_decay   3.0    3.7    0.0100   +0.344    0.1563  2.29e-01  5.17e-01
  3     spectral_decay   3.0    3.7    0.0500   +0.342    0.9359  2.29e-01  5.15e-01
  3     flat_spectrum    0.0    0.3    0.0000  -999.000    0.0000  1.31e-02  8.66e-02
  3     flat_spectrum    0.0    0.3    0.0100   +2.071    0.0073  1.31e-02  8.65e-02
  3     flat_spectrum    0.0    0.3    0.0500   +2.058    0.0435  1.30e-02  8.59e-02
  3     flat_spectrum    0.0    0.7    0.0000  -999.000    0.0000  1.02e-02  5.93e-02
  3     flat_spectrum    0.0    0.7    0.0100   +1.982    0.0074  1.02e-02  5.92e-02
  3     flat_spectrum    0.0    0.7    0.0500   +1.983    0.0442  1.01e-02  5.88e-02
  3     flat_spectrum    0.0    1.1    0.0000  -999.000    0.0000  1.15e-02  7.16e-02
  3     flat_spectrum    0.0    1.1    0.0100   +2.300    0.0107  1.15e-02  7.15e-02
  3     flat_spectrum    0.0    1.1    0.0500   +2.299    0.0635  1.14e-02  7.10e-02
  3     flat_spectrum    0.0    2.3    0.0000  -999.000    0.0000  1.20e-02  7.46e-02
  3     flat_spectrum    0.0    2.3    0.0100   +1.508    0.0048  1.20e-02  7.45e-02
  3     flat_spectrum    0.0    2.3    0.0500   +1.496    0.0285  1.19e-02  7.40e-02
  3     flat_spectrum    0.0    3.7    0.0000  -999.000    0.0000  1.29e-02  8.41e-02
  3     flat_spectrum    0.0    3.7    0.0100   +3.223    0.0063  1.28e-02  8.40e-02
  3     flat_spectrum    0.0    3.7    0.0500   +3.217    0.0377  1.28e-02  8.34e-02
  3     single_shell_1   0.0    0.5    0.0000  -999.000    0.0000  7.22e-01  1.31e+00
  3     single_shell_1   0.0    0.5    0.0100   -7.874  4999.9970  7.22e-01  1.31e+00
  3     single_shell_1   0.0    0.5    0.0500   -4.959  832.4666  7.21e-01  1.31e+00
  3     single_shell_2   0.0    0.5    0.0000  -999.000    0.0000  4.73e+00  2.32e+01
  3     single_shell_2   0.0    0.5    0.0100   +2.442  19993.5128  4.73e+00  2.32e+01
