################################################################
#  WORST-CASE GAMMA SEARCH                                     #
#                                                              #
#  For each N: sample diverse IC classes, measure gamma.       #
#  Report the MAXIMUM gamma found.                             #
#  If max gamma < 2 at all N: subcritical transfer.            #
################################################################

  N     IC_type          alpha  phase   t      gamma    max_eta   E_tot     Omega
  5     spectral_decay   1.0    0.7    0.0500   +1.793   36.2538  6.05e+00  7.42e+01
  5     spectral_decay   1.0    1.1    0.0000  -999.000    0.0000  5.96e+00  7.10e+01
  5     spectral_decay   1.0    1.1    0.0100   +1.880    2.9723  5.95e+00  7.08e+01
  5     spectral_decay   1.0    1.1    0.0500   +1.890   17.7530  5.88e+00  7.01e+01
  5     spectral_decay   1.0    2.3    0.0000  -999.000    0.0000  5.74e+00  6.80e+01
  5     spectral_decay   1.0    2.3    0.0100   +2.671    2.7043  5.73e+00  6.78e+01
  5     spectral_decay   1.0    2.3    0.0500   +2.841   15.7302  5.66e+00  6.71e+01
  5     spectral_decay   1.0    3.7    0.0000  -999.000    0.0000  5.50e+00  6.48e+01
  5     spectral_decay   1.0    3.7    0.0100   +1.668    7.2497  5.49e+00  6.46e+01
  5     spectral_decay   1.0    3.7    0.0500   +1.666   41.8551  5.42e+00  6.41e+01
  5     spectral_decay   1.5    0.3    0.0000  -999.000    0.0000  1.95e+00  1.84e+01
  5     spectral_decay   1.5    0.3    0.0100   +1.604    1.1285  1.94e+00  1.83e+01
  5     spectral_decay   1.5    0.3    0.0500   +1.620    6.4129  1.93e+00  1.81e+01
  5     spectral_decay   1.5    0.7    0.0000  -999.000    0.0000  2.18e+00  2.04e+01
  5     spectral_decay   1.5    0.7    0.0100   +1.251    2.1733  2.18e+00  2.03e+01
  5     spectral_decay   1.5    0.7    0.0500   +1.279   12.6277  2.16e+00  2.02e+01
  5     spectral_decay   1.5    1.1    0.0000  -999.000    0.0000  2.14e+00  1.95e+01
  5     spectral_decay   1.5    1.1    0.0100   +1.430    1.0400  2.13e+00  1.95e+01
  5     spectral_decay   1.5    1.1    0.0500   +1.440    6.1632  2.11e+00  1.93e+01
  5     spectral_decay   1.5    2.3    0.0000  -999.000    0.0000  2.06e+00  1.88e+01
  5     spectral_decay   1.5    2.3    0.0100   +1.910    1.0456  2.06e+00  1.87e+01
  5     spectral_decay   1.5    2.3    0.0500   +1.900    6.1506  2.04e+00  1.85e+01
  5     spectral_decay   1.5    3.7    0.0000  -999.000    0.0000  1.96e+00  1.80e+01
  5     spectral_decay   1.5    3.7    0.0100   +1.159    1.9947  1.95e+00  1.79e+01
  5     spectral_decay   1.5    3.7    0.0500   +1.175   11.7613  1.94e+00  1.78e+01
  5     spectral_decay   2.0    0.3    0.0000  -999.000    0.0000  8.53e-01  5.54e+00
  5     spectral_decay   2.0    0.3    0.0100   +1.827    0.4494  8.51e-01  5.52e+00
  5     spectral_decay   2.0    0.3    0.0500   +1.839    2.6686  8.46e-01  5.47e+00
  5     spectral_decay   2.0    0.7    0.0000  -999.000    0.0000  9.84e-01  6.14e+00
  5     spectral_decay   2.0    0.7    0.0100   +0.697    0.7538  9.83e-01  6.13e+00
  5     spectral_decay   2.0    0.7    0.0500   +0.729    4.4283  9.77e-01  6.07e+00
  5     spectral_decay   2.0    1.1    0.0000  -999.000    0.0000  9.57e-01  5.96e+00
  5     spectral_decay   2.0    1.1    0.0100   +1.205    0.4448  9.56e-01  5.95e+00
  5     spectral_decay   2.0    1.1    0.0500   +1.199    2.6257  9.50e-01  5.89e+00
  5     spectral_decay   2.0    2.3    0.0000  -999.000    0.0000  9.40e-01  5.74e+00
  5     spectral_decay   2.0    2.3    0.0100   +1.076    0.3810  9.38e-01  5.73e+00
  5     spectral_decay   2.0    2.3    0.0500   +1.082    2.2465  9.33e-01  5.67e+00
  5     spectral_decay   2.0    3.7    0.0000  -999.000    0.0000  8.57e-01  5.50e+00
  5     spectral_decay   2.0    3.7    0.0100   +0.886    0.6650  8.56e-01  5.49e+00
  5     spectral_decay   2.0    3.7    0.0500   +0.882    3.9463  8.51e-01  5.44e+00
  5     spectral_decay   3.0    0.3    0.0000  -999.000    0.0000  3.27e-01  8.53e-01
  5     spectral_decay   3.0    0.3    0.0100   +2.121    0.2844  3.27e-01  8.51e-01
  5     spectral_decay   3.0    0.3    0.0500   +2.102    1.6709  3.26e-01  8.47e-01
  5     spectral_decay   3.0    0.7    0.0000  -999.000    0.0000  4.18e-01  9.84e-01
  5     spectral_decay   3.0    0.7    0.0100   -0.221    0.2068  4.18e-01  9.83e-01
  5     spectral_decay   3.0    0.7    0.0500   -0.153    1.2287  4.17e-01  9.78e-01
  5     spectral_decay   3.0    1.1    0.0000  -999.000    0.0000  3.82e-01  9.57e-01
  5     spectral_decay   3.0    1.1    0.0100   +0.353    0.2125  3.82e-01  9.56e-01
  5     spectral_decay   3.0    1.1    0.0500   +0.350    1.2648  3.81e-01  9.51e-01
  5     spectral_decay   3.0    2.3    0.0000  -999.000    0.0000  4.12e-01  9.40e-01
  5     spectral_decay   3.0    2.3    0.0100   -0.185    0.2622  4.12e-01  9.38e-01
  5     spectral_decay   3.0    2.3    0.0500   -0.187    1.5588  4.11e-01  9.33e-01
  5     spectral_decay   3.0    3.7    0.0000  -999.000    0.0000  3.20e-01  8.57e-01
  5     spectral_decay   3.0    3.7    0.0100   +0.796    0.1914  3.20e-01  8.56e-01
  5     spectral_decay   3.0    3.7    0.0500   +0.669    1.1220  3.19e-01  8.52e-01
  5     flat_spectrum    0.0    0.3    0.0000  -999.000    0.0000  8.22e-02  1.31e+00
  5     flat_spectrum    0.0    0.3    0.0100   +1.647    0.9397  8.19e-02  1.30e+00
  5     flat_spectrum    0.0    0.3    0.0500   +1.642    5.4751  8.06e-02  1.28e+00
  5     flat_spectrum    0.0    0.7    0.0000  -999.000    0.0000  8.41e-02  1.28e+00
  5     flat_spectrum    0.0    0.7    0.0100   +2.436    0.1113  8.39e-02  1.27e+00
  5     flat_spectrum    0.0    0.7    0.0500   +2.414    0.6682  8.26e-02  1.25e+00
  5     flat_spectrum    0.0    1.1    0.0000  -999.000    0.0000  6.46e-02  1.07e+00
  5     flat_spectrum    0.0    1.1    0.0100   +2.670    0.2781  6.44e-02  1.06e+00
  5     flat_spectrum    0.0    1.1    0.0500   +2.661    1.6241  6.34e-02  1.04e+00
  5     flat_spectrum    0.0    2.3    0.0000  -999.000    0.0000  6.91e-02  1.11e+00
  5     flat_spectrum    0.0    2.3    0.0100   +0.931    0.3920  6.89e-02  1.11e+00
  5     flat_spectrum    0.0    2.3    0.0500   +0.872    2.2925  6.78e-02  1.09e+00
  5     flat_spectrum    0.0    3.7    0.0000  -999.000    0.0000  8.43e-02  1.32e+00
  5     flat_spectrum    0.0    3.7    0.0100   +1.433    0.2478  8.40e-02  1.32e+00
  5     flat_spectrum    0.0    3.7    0.0500   +1.464    1.4364  8.27e-02  1.29e+00
  5     single_shell_1   0.0    0.5    0.0000  -999.000    0.0000  9.89e-01  1.86e+00
  5     single_shell_1   0.0    0.5    0.0100  -11.901  4999.8198  9.89e-01  1.86e+00
  5     single_shell_1   0.0    0.5    0.0500   -7.715  830.4811  9.87e-01  1.87e+00
  5     single_shell_2   0.0    0.5    0.0000  -999.000    0.0000  5.06e+00  2.61e+01
  5     single_shell_2   0.0    0.5    0.0100   +0.258  19985.1925  5.06e+00  2.61e+01
  5     single_shell_2   0.0    0.5    0.0500   +0.443  3285.0991  5.03e+00  2.66e+01
  5     single_shell_3   0.0    0.5    0.0000  -999.000    0.0000  1.12e+01  1.14e+02
  5     single_shell_3   0.0    0.5    0.0100   +3.233  19968.5889  1.12e+01  1.14e+02
  5     single_shell_3   0.0    0.5    0.0500   +3.186  3242.9639  1.11e+01  1.17e+02
  5     single_shell_4   0.0    0.5    0.0000  -999.000    0.0000  3.57e+01  5.91e+02
  5     single_shell_4   0.0    0.5    0.0100   +3.009  19922.1975  3.56e+01  5.89e+02
  5     single_shell_4   0.0    0.5    0.0500   +3.013  3095.8951  3.50e+01  5.68e+02
  5     single_shell_5   0.0    0.5    0.0000  -999.000    0.0000  1.70e+01  3.73e+02
  5     single_shell_5   0.0    0.5    0.0100   +3.483  19911.0484  1.69e+01  3.72e+02
  5     single_shell_5   0.0    0.5    0.0500   +3.496  3028.4478  1.66e+01  3.56e+02
  5     random_phase     1.97   rnd    0.0000  -999.000    0.0000  9.60e-02  6.61e-01
  5     random_phase     2.26   rnd    0.0000  -999.000    0.0000  7.64e-02  4.04e-01
  5     random_phase     1.67   rnd    0.0000  -999.000    0.0000  1.83e-01  1.34e+00
  5     random_phase     1.23   rnd    0.0000  -999.000    0.0000  3.52e-01  3.85e+00
  5     random_phase     1.92   rnd    0.0000  -999.000    0.0000  1.21e-01  8.08e-01

  >>> N=5: WORST gamma = +3.5309 (from: spectral a=0.5 p=0.7 t=0.01)
  >>> N=5: WORST eta   = 19985.192545
  >>> N=5: gamma < 2?  **NO** (margin = -1.5309)

  6     spectral_decay   0.0    0.3    0.0000  -999.000    0.0000  1.60e+02  3.84e+03
  6     spectral_decay   0.0    0.3    0.0100   +1.857  763.6141  1.59e+02  3.81e+03
  6     spectral_decay   0.0    0.3    0.0500   +2.605  614.6528  1.56e+02  3.55e+03
  6     spectral_decay   0.0    0.7    0.0000  -999.000    0.0000  1.57e+02  3.77e+03
  6     spectral_decay   0.0    0.7    0.0100   +3.334  139.8280  1.56e+02  3.74e+03
  6     spectral_decay   0.0    0.7    0.0500   +2.580  126.2448  1.53e+02  3.51e+03
  6     spectral_decay   0.0    1.1    0.0000  -999.000    0.0000  1.49e+02  3.48e+03
  6     spectral_decay   0.0    1.1    0.0100   +2.801  217.0132  1.48e+02  3.46e+03
  6     spectral_decay   0.0    1.1    0.0500   +1.239  1029.4498  1.45e+02  3.31e+03
  6     spectral_decay   0.0    2.3    0.0000  -999.000    0.0000  1.56e+02  3.70e+03
  6     spectral_decay   0.0    2.3    0.0100   +2.277  498.0583  1.56e+02  3.68e+03
  6     spectral_decay   0.0    2.3    0.0500   +2.847  287.7843  1.52e+02  3.56e+03
  6     spectral_decay   0.0    3.7    0.0000  -999.000    0.0000  1.58e+02  3.81e+03
  6     spectral_decay   0.0    3.7    0.0100   +2.120  707.2842  1.58e+02  3.78e+03
  6     spectral_decay   0.0    3.7    0.0500   +2.459  530.1158  1.54e+02  3.52e+03
  6     spectral_decay   0.5    0.3    0.0000  -999.000    0.0000  3.57e+01  7.66e+02
  6     spectral_decay   0.5    0.3    0.0100   +2.159   58.9100  3.55e+01  7.62e+02
  6     spectral_decay   0.5    0.3    0.0500   +3.037  147.2611  3.48e+01  7.40e+02
  6     spectral_decay   0.5    0.7    0.0000  -999.000    0.0000  3.49e+01  7.53e+02
  6     spectral_decay   0.5    0.7    0.0100   +2.408   26.4017  3.48e+01  7.49e+02
  6     spectral_decay   0.5    0.7    0.0500   +2.249  216.3234  3.40e+01  7.30e+02
  6     spectral_decay   0.5    1.1    0.0000  -999.000    0.0000  3.34e+01  7.05e+02
  6     spectral_decay   0.5    1.1    0.0100   +1.889   38.5376  3.33e+01  7.02e+02
  6     spectral_decay   0.5    1.1    0.0500   +2.102  122.1144  3.26e+01  6.93e+02
  6     spectral_decay   0.5    2.3    0.0000  -999.000    0.0000  3.48e+01  7.46e+02
  6     spectral_decay   0.5    2.3    0.0100   +2.730   31.2939  3.46e+01  7.43e+02
  6     spectral_decay   0.5    2.3    0.0500   +3.673   54.6074  3.39e+01  7.33e+02
  6     spectral_decay   0.5    3.7    0.0000  -999.000    0.0000  3.49e+01  7.62e+02
  6     spectral_decay   0.5    3.7    0.0100   +0.843   52.7967  3.48e+01  7.58e+02
  6     spectral_decay   0.5    3.7    0.0500   +2.301  124.6589  3.40e+01  7.35e+02
  6     spectral_decay   1.0    0.3    0.0000  -999.000    0.0000  8.86e+00  1.60e+02
  6     spectral_decay   1.0    0.3    0.0100   +1.825    2.5933  8.83e+00  1.59e+02
  6     spectral_decay   1.0    0.3    0.0500   +2.436   15.8123  8.67e+00  1.56e+02
  6     spectral_decay   1.0    0.7    0.0000  -999.000    0.0000  8.75e+00  1.57e+02
  6     spectral_decay   1.0    0.7    0.0100   +1.327    9.5894  8.72e+00  1.56e+02
  6     spectral_decay   1.0    0.7    0.0500   +1.420   58.0406  8.57e+00  1.53e+02
  6     spectral_decay   1.0    1.1    0.0000  -999.000    0.0000  8.31e+00  1.49e+02
  6     spectral_decay   1.0    1.1    0.0100   +1.992   10.1926  8.28e+00  1.48e+02
  6     spectral_decay   1.0    1.1    0.0500   +2.161   56.1691  8.13e+00  1.46e+02
  6     spectral_decay   1.0    2.3    0.0000  -999.000    0.0000  8.57e+00  1.56e+02
  6     spectral_decay   1.0    2.3    0.0100   +3.706    4.6352  8.54e+00  1.56e+02
  6     spectral_decay   1.0    2.3    0.0500   +2.579   23.3989  8.39e+00  1.53e+02
  6     spectral_decay   1.0    3.7    0.0000  -999.000    0.0000  8.53e+00  1.58e+02
  6     spectral_decay   1.0    3.7    0.0100   +2.024    3.2796  8.50e+00  1.58e+02
  6     spectral_decay   1.0    3.7    0.0500   +2.338   18.6688  8.34e+00  1.55e+02
  6     spectral_decay   1.5    0.3    0.0000  -999.000    0.0000  2.62e+00  3.57e+01
  6     spectral_decay   1.5    0.3    0.0100   +1.066    1.1331  2.61e+00  3.55e+01
  6     spectral_decay   1.5    0.3    0.0500   +1.081    6.6869  2.57e+00  3.49e+01
  6     spectral_decay   1.5    0.7    0.0000  -999.000    0.0000  2.70e+00  3.49e+01
  6     spectral_decay   1.5    0.7    0.0100   +0.970    2.4978  2.70e+00  3.48e+01
  6     spectral_decay   1.5    0.7    0.0500   +0.940   14.7838  2.66e+00  3.42e+01
  6     spectral_decay   1.5    1.1    0.0000  -999.000    0.0000  2.46e+00  3.34e+01
  6     spectral_decay   1.5    1.1    0.0100   +1.439    2.3861  2.45e+00  3.33e+01
  6     spectral_decay   1.5    1.1    0.0500   +1.447   13.9210  2.42e+00  3.28e+01
  6     spectral_decay   1.5    2.3    0.0000  -999.000    0.0000  2.55e+00  3.48e+01
  6     spectral_decay   1.5    2.3    0.0100   +1.156    1.7123  2.54e+00  3.46e+01
  6     spectral_decay   1.5    2.3    0.0500   +0.994    9.6792  2.50e+00  3.41e+01
  6     spectral_decay   1.5    3.7    0.0000  -999.000    0.0000  2.49e+00  3.49e+01
  6     spectral_decay   1.5    3.7    0.0100   +1.350    1.2831  2.49e+00  3.48e+01
  6     spectral_decay   1.5    3.7    0.0500   +1.371    7.4754  2.45e+00  3.42e+01
  6     spectral_decay   2.0    0.3    0.0000  -999.000    0.0000  9.89e-01  8.86e+00
  6     spectral_decay   2.0    0.3    0.0100   +0.640    0.6555  9.88e-01  8.83e+00
  6     spectral_decay   2.0    0.3    0.0500   +0.655    3.9187  9.79e-01  8.69e+00
  6     spectral_decay   2.0    0.7    0.0000  -999.000    0.0000  1.14e+00  8.75e+00
  6     spectral_decay   2.0    0.7    0.0100   +0.849    0.6799  1.14e+00  8.72e+00
  6     spectral_decay   2.0    0.7    0.0500   +0.844    4.0342  1.13e+00  8.60e+00
  6     spectral_decay   2.0    1.1    0.0000  -999.000    0.0000  9.50e-01  8.31e+00
  6     spectral_decay   2.0    1.1    0.0100   +0.823    0.7074  9.48e-01  8.28e+00
  6     spectral_decay   2.0    1.1    0.0500   +0.835    4.1903  9.40e-01  8.16e+00
  6     spectral_decay   2.0    2.3    0.0000  -999.000    0.0000  1.01e+00  8.57e+00
  6     spectral_decay   2.0    2.3    0.0100   +0.826    0.5476  1.01e+00  8.54e+00
  6     spectral_decay   2.0    2.3    0.0500   +0.759    3.2071  1.00e+00  8.41e+00
  6     spectral_decay   2.0    3.7    0.0000  -999.000    0.0000  9.71e-01  8.53e+00
  6     spectral_decay   2.0    3.7    0.0100   +1.051    0.4124  9.69e-01  8.50e+00
  6     spectral_decay   2.0    3.7    0.0500   +1.041    2.4143  9.61e-01  8.36e+00
  6     spectral_decay   3.0    0.3    0.0000  -999.000    0.0000  3.15e-01  9.89e-01
  6     spectral_decay   3.0    0.3    0.0100   -0.329    0.2229  3.15e-01  9.88e-01
  6     spectral_decay   3.0    0.3    0.0500   -0.337    1.3320  3.14e-01  9.80e-01
  6     spectral_decay   3.0    0.7    0.0000  -999.000    0.0000  4.83e-01  1.14e+00
  6     spectral_decay   3.0    0.7    0.0100   +0.286    0.4016  4.83e-01  1.14e+00
  6     spectral_decay   3.0    0.7    0.0500   +0.283    2.3239  4.82e-01  1.13e+00
  6     spectral_decay   3.0    1.1    0.0000  -999.000    0.0000  3.35e-01  9.50e-01
  6     spectral_decay   3.0    1.1    0.0100   -0.883    0.2119  3.35e-01  9.48e-01
  6     spectral_decay   3.0    1.1    0.0500   -0.882    1.2527  3.34e-01  9.41e-01
  6     spectral_decay   3.0    2.3    0.0000  -999.000    0.0000  3.92e-01  1.01e+00
  6     spectral_decay   3.0    2.3    0.0100   -0.406    0.3364  3.91e-01  1.01e+00
  6     spectral_decay   3.0    2.3    0.0500   -0.441    1.9653  3.90e-01  1.00e+00
  6     spectral_decay   3.0    3.7    0.0000  -999.000    0.0000  3.75e-01  9.71e-01
  6     spectral_decay   3.0    3.7    0.0100   -0.181    0.1987  3.75e-01  9.69e-01
  6     spectral_decay   3.0    3.7    0.0500   -0.193    1.1802  3.74e-01  9.62e-01
  6     flat_spectrum    0.0    0.3    0.0000  -999.000    0.0000  1.87e-01  4.69e+00
  6     flat_spectrum    0.0    0.3    0.0100   +2.459    0.3109  1.86e-01  4.66e+00
  6     flat_spectrum    0.0    0.3    0.0500   +2.453    1.7457  1.82e-01  4.53e+00
  6     flat_spectrum    0.0    0.7    0.0000  -999.000    0.0000  1.63e-01  3.85e+00
  6     flat_spectrum    0.0    0.7    0.0100   +2.458    1.0957  1.62e-01  3.83e+00
  6     flat_spectrum    0.0    0.7    0.0500   +2.461    6.3480  1.59e-01  3.72e+00
  6     flat_spectrum    0.0    1.1    0.0000  -999.000    0.0000  1.83e-01  4.36e+00
  6     flat_spectrum    0.0    1.1    0.0100   +1.439    1.6824  1.82e-01  4.33e+00
  6     flat_spectrum    0.0    1.1    0.0500   +1.418    9.7398  1.78e-01  4.22e+00
  6     flat_spectrum    0.0    2.3    0.0000  -999.000    0.0000  1.85e-01  4.32e+00
  6     flat_spectrum    0.0    2.3    0.0100   +1.641    2.0854  1.84e-01  4.29e+00
  6     flat_spectrum    0.0    2.3    0.0500   +1.645   12.0366  1.80e-01  4.18e+00
  6     flat_spectrum    0.0    3.7    0.0000  -999.000    0.0000  1.78e-01  4.21e+00
  6     flat_spectrum    0.0    3.7    0.0100   +1.991    1.3277  1.77e-01  4.18e+00
  6     flat_spectrum    0.0    3.7    0.0500   +1.985    7.6325  1.73e-01  4.07e+00
  6     single_shell_1   0.0    0.5    0.0000  -999.000    0.0000  1.26e+00  2.27e+00
  6     single_shell_1   0.0    0.5    0.0100  -15.800  4999.7621  1.26e+00  2.26e+00
  6     single_shell_1   0.0    0.5    0.0500  -10.192  830.2886  1.26e+00  2.27e+00
  6     single_shell_2   0.0    0.5    0.0000  -999.000    0.0000  4.63e+00  2.34e+01
  6     single_shell_2   0.0    0.5    0.0100   -1.616  19984.8751  4.63e+00  2.34e+01
  6     single_shell_2   0.0    0.5    0.0500   -0.292  3283.5773  4.61e+00  2.39e+01
  6     single_shell_3   0.0    0.5    0.0000  -999.000    0.0000  1.36e+01  1.39e+02
  6     single_shell_3   0.0    0.5    0.0100   +2.995  19980.8470  1.36e+01  1.39e+02
  6     single_shell_3   0.0    0.5    0.0500   +2.965  3277.0501  1.34e+01  1.50e+02
  6     single_shell_4   0.0    0.5    0.0000  -999.000    0.0000  3.90e+01  6.49e+02
  6     single_shell_4   0.0    0.5    0.0100   +3.098  19987.3907  3.89e+01  6.48e+02
  6     single_shell_4   0.0    0.5    0.0500   +3.040  3149.2689  3.83e+01  6.75e+02
  6     single_shell_5   0.0    0.5    0.0000  -999.000    0.0000  7.28e+01  1.89e+03
  6     single_shell_5   0.0    0.5    0.0100   +3.122  19758.3539  7.24e+01  1.88e+03
  6     single_shell_5   0.0    0.5    0.0500   +3.238  2578.3497  7.06e+01  1.74e+03
  6     single_shell_6   0.0    0.5    0.0000  -999.000    0.0000  3.05e+01  1.05e+03
  6     single_shell_6   0.0    0.5    0.0100   +3.305  19825.4102  3.03e+01  1.04e+03
  6     single_shell_6   0.0    0.5    0.0500   +3.447  2720.3629  2.93e+01  9.53e+02
  6     random_phase     1.79   rnd    0.0000  -999.000    0.0000  1.79e-01  1.83e+00
  6     random_phase     2.36   rnd    0.0000  -999.000    0.0000  7.95e-02  4.22e-01
  6     random_phase     1.52   rnd    0.0000  -999.000    0.0000  3.06e-01  3.80e+00
  6     random_phase     1.35   rnd    0.0000  -999.000    0.0000  3.84e-01  5.93e+00
  6     random_phase     1.09   rnd    0.0000  -999.000    0.0000  8.33e-01  1.48e+01

  >>> N=6: WORST gamma = +3.7055 (from: spectral a=1.0 p=2.3 t=0.01)
  >>> N=6: WORST eta   = 19987.390709
  >>> N=6: gamma < 2?  **NO** (margin = -1.7055)

  7     spectral_decay   0.0    0.3    0.0000  -999.000    0.0000  2.74e+02  8.72e+03
  7     spectral_decay   0.0    0.3    0.0100   +2.228  2249.6802  2.73e+02  8.65e+03
  7     spectral_decay   0.0    0.3    0.0500   +1.662  1260.7547  2.66e+02  8.04e+03
  7     spectral_decay   0.0    0.7    0.0000  -999.000    0.0000  2.66e+02  8.53e+03
  7     spectral_decay   0.0    0.7    0.0100   +2.731  1544.1927  2.64e+02  8.45e+03
  7     spectral_decay   0.0    0.7    0.0500   +1.864  915.7533  2.58e+02  7.79e+03
  7     spectral_decay   0.0    1.1    0.0000  -999.000    0.0000  2.71e+02  8.50e+03
  7     spectral_decay   0.0    1.1    0.0100   +1.897  1018.9495  2.69e+02  8.42e+03
  7     spectral_decay   0.0    1.1    0.0500   +2.430  261.1223  2.63e+02  7.81e+03
  7     spectral_decay   0.0    2.3    0.0000  -999.000    0.0000  2.67e+02  8.58e+03
  7     spectral_decay   0.0    2.3    0.0100   +2.900  1043.3095  2.65e+02  8.49e+03
  7     spectral_decay   0.0    2.3    0.0500   +0.330  1305.8343  2.59e+02  7.84e+03
  7     spectral_decay   0.0    3.7    0.0000  -999.000    0.0000  3.01e+02  9.88e+03
  7     spectral_decay   0.0    3.7    0.0100   +2.021  1837.2330  3.00e+02  9.75e+03
  7     spectral_decay   0.0    3.7    0.0500   +1.331  1403.0678  2.92e+02  8.80e+03
  7     spectral_decay   0.5    0.3    0.0000  -999.000    0.0000  5.28e+01  1.52e+03
  7     spectral_decay   0.5    0.3    0.0100   +2.619  161.3439  5.25e+01  1.51e+03
  7     spectral_decay   0.5    0.3    0.0500   +2.557  145.1386  5.11e+01  1.48e+03
  7     spectral_decay   0.5    0.7    0.0000  -999.000    0.0000  5.10e+01  1.48e+03
  7     spectral_decay   0.5    0.7    0.0100   +2.505   89.6060  5.07e+01  1.47e+03
  7     spectral_decay   0.5    0.7    0.0500   +2.128  217.2507  4.93e+01  1.44e+03
  7     spectral_decay   0.5    1.1    0.0000  -999.000    0.0000  5.27e+01  1.48e+03
  7     spectral_decay   0.5    1.1    0.0100   +2.627   34.4522  5.25e+01  1.48e+03
  7     spectral_decay   0.5    1.1    0.0500   +2.146  103.9139  5.11e+01  1.46e+03
  7     spectral_decay   0.5    2.3    0.0000  -999.000    0.0000  5.13e+01  1.48e+03
  7     spectral_decay   0.5    2.3    0.0100   +3.987   13.8129  5.10e+01  1.47e+03
  7     spectral_decay   0.5    2.3    0.0500   +3.240   71.4382  4.96e+01  1.44e+03
  7     spectral_decay   0.5    3.7    0.0000  -999.000    0.0000  5.71e+01  1.69e+03
  7     spectral_decay   0.5    3.7    0.0100   +2.945   63.0855  5.67e+01  1.68e+03
  7     spectral_decay   0.5    3.7    0.0500   +2.747  173.5849  5.52e+01  1.62e+03
  7     spectral_decay   1.0    0.3    0.0000  -999.000    0.0000  1.13e+01  2.74e+02
  7     spectral_decay   1.0    0.3    0.0100   +1.375   11.0930  1.12e+01  2.73e+02
  7     spectral_decay   1.0    0.3    0.0500   +1.075   38.9165  1.10e+01  2.69e+02
  7     spectral_decay   1.0    0.7    0.0000  -999.000    0.0000  1.09e+01  2.66e+02
  7     spectral_decay   1.0    0.7    0.0100   +2.753    9.3973  1.09e+01  2.64e+02
  7     spectral_decay   1.0    0.7    0.0500   +2.514   47.8936  1.06e+01  2.60e+02
  7     spectral_decay   1.0    1.1    0.0000  -999.000    0.0000  1.15e+01  2.71e+02
  7     spectral_decay   1.0    1.1    0.0100   +2.466   10.0550  1.14e+01  2.69e+02
  7     spectral_decay   1.0    1.1    0.0500   +2.163   38.7057  1.12e+01  2.67e+02
  7     spectral_decay   1.0    2.3    0.0000  -999.000    0.0000  1.10e+01  2.67e+02
  7     spectral_decay   1.0    2.3    0.0100   +2.647    5.9233  1.09e+01  2.65e+02
  7     spectral_decay   1.0    2.3    0.0500   +2.213   42.1870  1.07e+01  2.61e+02
  7     spectral_decay   1.0    3.7    0.0000  -999.000    0.0000  1.20e+01  3.01e+02
  7     spectral_decay   1.0    3.7    0.0100   +2.873    4.0155  1.19e+01  3.00e+02
  7     spectral_decay   1.0    3.7    0.0500   +2.710   30.4909  1.16e+01  2.93e+02
  7     spectral_decay   1.5    0.3    0.0000  -999.000    0.0000  2.89e+00  5.28e+01
  7     spectral_decay   1.5    0.3    0.0100   +1.415    2.0083  2.88e+00  5.25e+01
  7     spectral_decay   1.5    0.3    0.0500   +2.061   11.9163  2.82e+00  5.15e+01
  7     spectral_decay   1.5    0.7    0.0000  -999.000    0.0000  2.85e+00  5.10e+01
  7     spectral_decay   1.5    0.7    0.0100   +2.530    2.5721  2.84e+00  5.07e+01
  7     spectral_decay   1.5    0.7    0.0500   +2.338   14.5341  2.79e+00  4.97e+01
  7     spectral_decay   1.5    1.1    0.0000  -999.000    0.0000  3.08e+00  5.27e+01
  7     spectral_decay   1.5    1.1    0.0100   +1.191    2.9213  3.07e+00  5.25e+01
  7     spectral_decay   1.5    1.1    0.0500   +1.533   15.1648  3.02e+00  5.16e+01
  7     spectral_decay   1.5    2.3    0.0000  -999.000    0.0000  2.82e+00  5.13e+01
  7     spectral_decay   1.5    2.3    0.0100   +1.686    1.7619  2.81e+00  5.10e+01
  7     spectral_decay   1.5    2.3    0.0500   +1.564   10.8922  2.76e+00  5.00e+01
  7     spectral_decay   1.5    3.7    0.0000  -999.000    0.0000  2.99e+00  5.71e+01
  7     spectral_decay   1.5    3.7    0.0100   +1.830    1.5927  2.97e+00  5.67e+01
  7     spectral_decay   1.5    3.7    0.0500   +1.762    9.7632  2.92e+00  5.55e+01
  7     spectral_decay   2.0    0.3    0.0000  -999.000    0.0000  9.68e-01  1.13e+01
  7     spectral_decay   2.0    0.3    0.0100   +1.935    0.6319  9.66e-01  1.12e+01
  7     spectral_decay   2.0    0.3    0.0500   +1.871    3.7302  9.55e-01  1.10e+01
  7     spectral_decay   2.0    0.7    0.0000  -999.000    0.0000  1.01e+00  1.09e+01
  7     spectral_decay   2.0    0.7    0.0100   +1.727    0.7667  1.00e+00  1.09e+01
  7     spectral_decay   2.0    0.7    0.0500   +1.645    4.3667  9.93e-01  1.07e+01
  7     spectral_decay   2.0    1.1    0.0000  -999.000    0.0000  1.16e+00  1.15e+01
  7     spectral_decay   2.0    1.1    0.0100   +0.776    0.8449  1.15e+00  1.14e+01
  7     spectral_decay   2.0    1.1    0.0500   +0.999    4.6877  1.14e+00  1.12e+01
  7     spectral_decay   2.0    2.3    0.0000  -999.000    0.0000  9.51e-01  1.10e+01
  7     spectral_decay   2.0    2.3    0.0100   +1.079    0.6220  9.49e-01  1.09e+01
