############################################################
#  ADAPTIVE N: No fixed truncation boundary                #
#                                                          #
#  N_active grows when cascade approaches the boundary.   #
#  No wall = no reflection = no artefact.                  #
#                                                          #
#  Does N_active stabilise? If yes: cascade absorbed.     #
#  N_start=3, N_ceiling=14, buffer=2, ε=1e-06          #
############################################################

  === ν=0.010, A=0.1 ===

  Step    Time     N     Modes   Energy        Enstrophy     E_top       E_top/E     Action  
  ------  -------  ----  ------  ----------    ----------    --------    --------    --------
  11200    1.1200  14    11512       5.000977    722.973684    9.03e-02    1.81e-02  AT CEILING
  11300    1.1300  14    11512       5.827569    854.505467    1.10e-01    1.89e-02  AT CEILING
  11400    1.1400  14    11512       6.792047   1008.664000    1.35e-01    1.98e-02  AT CEILING
  11500    1.1500  14    11512       7.916261   1189.107606    1.64e-01    2.07e-02  AT CEILING
  11600    1.1600  14    11512       9.225327   1400.049288    1.99e-01    2.16e-02  AT CEILING
  11700    1.1700  14    11512      10.748079   1646.335478    2.41e-01    2.24e-02  AT CEILING
  11800    1.1800  14    11512      12.517591   1933.535251    2.91e-01    2.33e-02  AT CEILING
  11900    1.1900  14    11512      14.571760   2268.041290    3.52e-01    2.41e-02  AT CEILING
  12000    1.2000  14    11512      16.953968   2657.184067    4.24e-01    2.50e-02  AT CEILING
  12100    1.2100  14    11512      19.713827   3109.360841    5.10e-01    2.59e-02  AT CEILING
  12200    1.2200  14    11512      22.908022   3634.181293    6.12e-01    2.67e-02  AT CEILING
  12300    1.2300  14    11512      26.601258   4242.631800    7.34e-01    2.76e-02  AT CEILING
  12400    1.2400  14    11512      30.867327   4947.260580    8.78e-01    2.84e-02  AT CEILING
  12500    1.2500  14    11512      35.790311   5762.386225    1.05e+00    2.93e-02  AT CEILING
  12600    1.2600  14    11512      41.465929   6704.332357    1.25e+00    3.01e-02  AT CEILING
  12700    1.2700  14    11512      48.003060   7791.691537    1.49e+00    3.10e-02  AT CEILING
  12800    1.2800  14    11512      55.525439   9045.621810    1.77e+00    3.19e-02  AT CEILING
  12900    1.2900  14    11512      64.173576  10490.179730    2.10e+00    3.27e-02  AT CEILING
  13000    1.3000  14    11512      74.106890  12152.694081    2.49e+00    3.35e-02  AT CEILING
  13100    1.3100  14    11512      85.506121  14064.184987    2.94e+00    3.44e-02  AT CEILING
  13200    1.3200  14    11512      98.576012  16259.833638    3.47e+00    3.52e-02  AT CEILING
  13300    1.3300  14    11512     113.548319  18779.508408    4.10e+00    3.61e-02  AT CEILING
  13400    1.3400  14    11512     130.685181  21668.353785    4.82e+00    3.69e-02  AT CEILING
  13500    1.3500  14    11512     150.282883  24977.449219    5.67e+00    3.77e-02  AT CEILING
  13600    1.3600  14    11512     172.676058  28764.545785    6.66e+00    3.86e-02  AT CEILING
  13700    1.3700  14    11512     198.242388  33094.889405    7.81e+00    3.94e-02  AT CEILING
  13800    1.3800  14    11512     227.407842  38042.140287    9.14e+00    4.02e-02  AT CEILING
  13900    1.3900  14    11512     260.652525  43689.399346    1.07e+01    4.10e-02  AT CEILING
  14000    1.4000  14    11512     298.517198  50130.353454    1.25e+01    4.18e-02  AT CEILING
  14100    1.4100  14    11512     341.610548  57470.552702    1.46e+01    4.26e-02  AT CEILING
  14200    1.4200  14    11512     390.617282  65828.834223    1.70e+01    4.34e-02  AT CEILING
  14300    1.4300  14    11512     446.307146  75338.908714    1.97e+01    4.42e-02  AT CEILING
  14400    1.4400  14    11512     509.544965  86151.127493    2.29e+01    4.50e-02  AT CEILING
  14500    1.4500  14    11512     581.301808  98434.449866    2.66e+01    4.57e-02  AT CEILING
  14600    1.4600  14    11512     662.667416  112378.632644    3.08e+01    4.65e-02  AT CEILING
