################################################################
#  OSCILLATION TRACKING                                        #
#                                                              #
#  Track signed per-shell T_K over time.                       #
#  Does the transfer oscillate? Stay bounded?                  #
#                                                              #
#  N=8, A=0.30, nu=0.0100, steps=5000                            #
################################################################

  step   time     Ω         T_1          T_2          T_3          T_4          T_5          T_6          Σ|T_K|       S=ΣK²T_K
  1950   0.1950    13.6504   -6.871e-01   -2.624e+00   -2.296e-01   +3.820e-01   +1.397e-01   +6.090e-02    4.161e+00   +5.993e-01
  2000   0.2000    13.7748   -6.954e-01   -2.606e+00   -2.062e-01   +3.759e-01   +1.453e-01   +6.227e-02    4.134e+00   +1.180e+00
  2050   0.2050    13.9019   -7.032e-01   -2.586e+00   -1.841e-01   +3.690e-01   +1.510e-01   +6.349e-02    4.103e+00   +1.761e+00
  2100   0.2100    14.0315   -7.105e-01   -2.562e+00   -1.635e-01   +3.615e-01   +1.569e-01   +6.457e-02    4.071e+00   +2.342e+00
  2150   0.2150    14.1635   -7.172e-01   -2.536e+00   -1.445e-01   +3.536e-01   +1.627e-01   +6.555e-02    4.036e+00   +2.921e+00
  2200   0.2200    14.2980   -7.234e-01   -2.508e+00   -1.272e-01   +3.456e-01   +1.686e-01   +6.646e-02    4.001e+00   +3.498e+00
  2250   0.2250    14.4347   -7.291e-01   -2.478e+00   -1.115e-01   +3.374e-01   +1.743e-01   +6.734e-02    3.964e+00   +4.070e+00
  2300   0.2300    14.5737   -7.343e-01   -2.445e+00   -9.765e-02   +3.294e-01   +1.799e-01   +6.823e-02    3.926e+00   +4.637e+00
  2350   0.2350    14.7148   -7.390e-01   -2.411e+00   -8.555e-02   +3.217e-01   +1.852e-01   +6.915e-02    3.888e+00   +5.196e+00
  2400   0.2400    14.8579   -7.433e-01   -2.375e+00   -7.523e-02   +3.144e-01   +1.902e-01   +7.013e-02    3.850e+00   +5.746e+00
  2450   0.2450    15.0031   -7.470e-01   -2.338e+00   -6.667e-02   +3.076e-01   +1.949e-01   +7.121e-02    3.812e+00   +6.286e+00
  2500   0.2500    15.1500   -7.502e-01   -2.299e+00   -5.984e-02   +3.015e-01   +1.992e-01   +7.241e-02    3.774e+00   +6.814e+00
  2550   0.2550    15.2988   -7.530e-01   -2.259e+00   -5.470e-02   +2.961e-01   +2.030e-01   +7.373e-02    3.736e+00   +7.329e+00
  2600   0.2600    15.4492   -7.554e-01   -2.218e+00   -5.119e-02   +2.914e-01   +2.063e-01   +7.518e-02    3.699e+00   +7.830e+00
  2650   0.2650    15.6013   -7.572e-01   -2.176e+00   -4.924e-02   +2.876e-01   +2.092e-01   +7.678e-02    3.662e+00   +8.316e+00
  2700   0.2700    15.7548   -7.587e-01   -2.134e+00   -4.878e-02   +2.847e-01   +2.116e-01   +7.851e-02    3.626e+00   +8.787e+00
  2750   0.2750    15.9097   -7.597e-01   -2.091e+00   -4.970e-02   +2.826e-01   +2.135e-01   +8.037e-02    3.591e+00   +9.242e+00
  2800   0.2800    16.0660   -7.604e-01   -2.048e+00   -5.193e-02   +2.813e-01   +2.149e-01   +8.235e-02    3.556e+00   +9.681e+00
  2850   0.2850    16.2234   -7.606e-01   -2.004e+00   -5.535e-02   +2.809e-01   +2.159e-01   +8.445e-02    3.522e+00   +1.010e+01
  2900   0.2900    16.3820   -7.604e-01   -1.960e+00   -5.988e-02   +2.812e-01   +2.165e-01   +8.664e-02    3.489e+00   +1.051e+01
  2950   0.2950    16.5416   -7.599e-01   -1.917e+00   -6.539e-02   +2.823e-01   +2.167e-01   +8.891e-02    3.457e+00   +1.090e+01
  3000   0.3000    16.7021   -7.590e-01   -1.873e+00   -7.179e-02   +2.841e-01   +2.165e-01   +9.125e-02    3.425e+00   +1.127e+01
  3050   0.3050    16.8635   -7.577e-01   -1.829e+00   -7.897e-02   +2.864e-01   +2.160e-01   +9.365e-02    3.394e+00   +1.163e+01
  3100   0.3100    17.0256   -7.561e-01   -1.786e+00   -8.683e-02   +2.893e-01   +2.152e-01   +9.609e-02    3.364e+00   +1.198e+01
  3150   0.3150    17.1884   -7.542e-01   -1.743e+00   -9.525e-02   +2.926e-01   +2.143e-01   +9.857e-02    3.334e+00   +1.230e+01
  3200   0.3200    17.3517   -7.520e-01   -1.700e+00   -1.041e-01   +2.963e-01   +2.131e-01   +1.011e-01    3.305e+00   +1.262e+01
  3250   0.3250    17.5156   -7.495e-01   -1.658e+00   -1.134e-01   +3.003e-01   +2.118e-01   +1.036e-01    3.276e+00   +1.292e+01
  3300   0.3300    17.6799   -7.467e-01   -1.616e+00   -1.229e-01   +3.045e-01   +2.104e-01   +1.061e-01    3.248e+00   +1.321e+01
  3350   0.3350    17.8445   -7.436e-01   -1.575e+00   -1.327e-01   +3.087e-01   +2.090e-01   +1.086e-01    3.220e+00   +1.350e+01
  3400   0.3400    18.0094   -7.402e-01   -1.535e+00   -1.425e-01   +3.131e-01   +2.075e-01   +1.111e-01    3.193e+00   +1.377e+01
  3450   0.3450    18.1745   -7.367e-01   -1.495e+00   -1.524e-01   +3.174e-01   +2.060e-01   +1.135e-01    3.166e+00   +1.404e+01
  3500   0.3500    18.3397   -7.328e-01   -1.456e+00   -1.622e-01   +3.216e-01   +2.045e-01   +1.159e-01    3.139e+00   +1.430e+01
  3550   0.3550    18.5050   -7.288e-01   -1.418e+00   -1.719e-01   +3.256e-01   +2.030e-01   +1.182e-01    3.113e+00   +1.457e+01
  3600   0.3600    18.6703   -7.246e-01   -1.380e+00   -1.814e-01   +3.295e-01   +2.016e-01   +1.205e-01    3.087e+00   +1.483e+01
  3650   0.3650    18.8355   -7.201e-01   -1.343e+00   -1.907e-01   +3.330e-01   +2.002e-01   +1.226e-01    3.061e+00   +1.510e+01
  3700   0.3700    19.0005   -7.155e-01   -1.308e+00   -1.998e-01   +3.363e-01   +1.989e-01   +1.246e-01    3.035e+00   +1.537e+01
  3750   0.3750    19.1654   -7.107e-01   -1.273e+00   -2.085e-01   +3.392e-01   +1.976e-01   +1.265e-01    3.009e+00   +1.565e+01
  3800   0.3800    19.3301   -7.058e-01   -1.238e+00   -2.168e-01   +3.418e-01   +1.963e-01   +1.281e-01    2.984e+00   +1.594e+01
  3850   0.3850    19.4945   -7.007e-01   -1.205e+00   -2.248e-01   +3.440e-01   +1.951e-01   +1.295e-01    2.958e+00   +1.624e+01
  3900   0.3900    19.6585   -6.954e-01   -1.173e+00   -2.323e-01   +3.458e-01   +1.939e-01   +1.307e-01    2.933e+00   +1.655e+01
  3950   0.3950    19.8221   -6.901e-01   -1.141e+00   -2.395e-01   +3.472e-01   +1.927e-01   +1.316e-01    2.908e+00   +1.687e+01
  4000   0.4000    19.9853   -6.846e-01   -1.110e+00   -2.461e-01   +3.481e-01   +1.915e-01   +1.321e-01    2.883e+00   +1.720e+01
  4050   0.4050    20.1480   -6.791e-01   -1.080e+00   -2.523e-01   +3.487e-01   +1.902e-01   +1.323e-01    2.858e+00   +1.754e+01
  4100   0.4100    20.3101   -6.734e-01   -1.051e+00   -2.580e-01   +3.488e-01   +1.890e-01   +1.322e-01    2.833e+00   +1.788e+01
  4150   0.4150    20.4716   -6.677e-01   -1.023e+00   -2.632e-01   +3.485e-01   +1.877e-01   +1.317e-01    2.808e+00   +1.823e+01
  4200   0.4200    20.6325   -6.618e-01   -9.957e-01   -2.679e-01   +3.478e-01   +1.864e-01   +1.308e-01    2.782e+00   +1.857e+01
  4250   0.4250    20.7927   -6.560e-01   -9.691e-01   -2.721e-01   +3.468e-01   +1.850e-01   +1.296e-01    2.757e+00   +1.891e+01
  4300   0.4300    20.9522   -6.500e-01   -9.433e-01   -2.759e-01   +3.454e-01   +1.836e-01   +1.280e-01    2.731e+00   +1.923e+01
  4350   0.4350    21.1109   -6.440e-01   -9.183e-01   -2.791e-01   +3.436e-01   +1.821e-01   +1.261e-01    2.705e+00   +1.955e+01
  4400   0.4400    21.2688   -6.380e-01   -8.941e-01   -2.819e-01   +3.415e-01   +1.805e-01   +1.238e-01    2.678e+00   +1.984e+01
  4450   0.4450    21.4258   -6.320e-01   -8.706e-01   -2.843e-01   +3.390e-01   +1.788e-01   +1.213e-01    2.651e+00   +2.010e+01
  4500   0.4500    21.5819   -6.259e-01   -8.478e-01   -2.861e-01   +3.363e-01   +1.771e-01   +1.185e-01    2.624e+00   +2.034e+01
  4550   0.4550    21.7371   -6.198e-01   -8.258e-01   -2.876e-01   +3.333e-01   +1.752e-01   +1.155e-01    2.596e+00   +2.055e+01
  4600   0.4600    21.8913   -6.137e-01   -8.045e-01   -2.886e-01   +3.300e-01   +1.733e-01   +1.124e-01    2.567e+00   +2.073e+01
  4650   0.4650    22.0444   -6.076e-01   -7.839e-01   -2.892e-01   +3.265e-01   +1.713e-01   +1.092e-01    2.539e+00   +2.087e+01
  4700   0.4700    22.1965   -6.015e-01   -7.639e-01   -2.895e-01   +3.227e-01   +1.693e-01   +1.061e-01    2.509e+00   +2.097e+01
  4750   0.4750    22.3476   -5.954e-01   -7.446e-01   -2.894e-01   +3.188e-01   +1.671e-01   +1.029e-01    2.479e+00   +2.103e+01
  4800   0.4800    22.4975   -5.894e-01   -7.259e-01   -2.889e-01   +3.146e-01   +1.649e-01   +9.993e-02    2.449e+00   +2.106e+01
  4850   0.4850    22.6463   -5.833e-01   -7.078e-01   -2.881e-01   +3.103e-01   +1.626e-01   +9.709e-02    2.418e+00   +2.105e+01
  4900   0.4900    22.7939   -5.773e-01   -6.903e-01   -2.870e-01   +3.057e-01   +1.603e-01   +9.448e-02    2.387e+00   +2.101e+01
  4950   0.4950    22.9404   -5.713e-01   -6.734e-01   -2.857e-01   +3.010e-01   +1.579e-01   +9.215e-02    2.355e+00   +2.095e+01
  5000   0.5000    23.0856   -5.653e-01   -6.571e-01   -2.841e-01   +2.962e-01   +1.555e-01   +9.015e-02    2.323e+00   +2.085e+01

  === OSCILLATION SUMMARY ===

  Shell  sign_flips  max_T        min_T        range         bounded?
  -----  ----------  ----------   ----------   ----------    --------
  1      0           +0.000e+00   -7.606e-01    7.606e-01    YES
  2      0           +0.000e+00   -2.660e+00    2.660e+00    YES
  3      0           +0.000e+00   -6.409e-01    6.409e-01    YES
  4      0           +3.951e-01   +0.000e+00    3.951e-01    YES
  5      0           +2.167e-01   +0.000e+00    2.167e-01    YES
  6      0           +1.323e-01   +0.000e+00    1.323e-01    YES

################################################################
#  If T_K oscillates (many sign flips):                        #
#    → Energy transfer is wave-like, not one-directional.     #
#    → Time-averaged T_K tends to zero.                        #
#    → The cascade cannot sustain one-way energy pumping.      #
#                                                              #
#  If T_K stays bounded:                                       #
#    → The oscillation amplitude doesn't grow.                 #
#    → The nonlinear term is self-limiting.                    #
#                                                              #
#  If sign_flips >> 0 AND bounded:                             #
#    → The transfer is a bounded oscillation.                  #
#    → This is the wave-like behaviour that prevents blow-up.  #
################################################################
