############################################################
#  LEMMA 9.5 VERIFICATION                                  #
#                                                          #
#  Verify: R_K = |T_K| / (E · Ω^{1/2} · K^{γ-1})       #
#  is bounded at all K, all t, all (A, ν).                #
#  γ = 1.5 (from lemma proof)                            #
#                                                          #
#  If max R_K < ∞: Lemma holds with C = max R_K.         #
############################################################

  ν     Amp    Step    Time     Energy      Enstrophy   R_k=1     R_k=2     R_k=3     R_k=4     R_k=5     R_k=6     R_k=7     R_k=8     maxR    BOUNDED?
  0.010  0.2    3000     0.3000    5.422031  187.495377     0.0038    0.0053    0.0016    0.0060    0.0020    0.0008    0.0006    0.0001   0.0060  YES
  0.010  0.2    3200     0.3200    5.347890  185.461628     0.0038    0.0048    0.0015    0.0056    0.0023    0.0011    0.0017    0.0001   0.0056  YES
  0.010  0.2    3400     0.3400    5.274566  183.352200     0.0039    0.0044    0.0016    0.0048    0.0022    0.0013    0.0023    0.0002   0.0048  YES
  0.010  0.2    3600     0.3600    5.202088  181.164327     0.0040    0.0040    0.0017    0.0037    0.0017    0.0013    0.0025    0.0002   0.0040  YES
  0.010  0.2    3800     0.3800    5.130487  178.899556     0.0040    0.0036    0.0018    0.0024    0.0011    0.0015    0.0022    0.0002   0.0040  YES
  0.010  0.2    4000     0.4000    5.059792  176.564030     0.0040    0.0032    0.0020    0.0010    0.0005    0.0016    0.0016    0.0001   0.0040  YES
  0.010  0.2    4200     0.4200    4.990030  174.171989     0.0040    0.0028    0.0021    0.0003    0.0001    0.0017    0.0009    0.0001   0.0040  YES
  0.010  0.2    4400     0.4400    4.921216  171.750142     0.0039    0.0025    0.0021    0.0012    0.0005    0.0016    0.0002    0.0000   0.0039  YES
  0.010  0.2    4600     0.4600    4.853357  169.337984     0.0037    0.0022    0.0020    0.0018    0.0009    0.0014    0.0001    0.0000   0.0037  YES
  0.010  0.2    4800     0.4800    4.786439  166.981416     0.0036    0.0019    0.0019    0.0020    0.0012    0.0009    0.0001    0.0000   0.0036  YES
  0.010  0.2    5000     0.5000    4.720434  164.721993     0.0034    0.0016    0.0019    0.0018    0.0015    0.0004    0.0002    0.0001   0.0034  YES
  → Case max R = 0.021912

  0.010  0.3    200      0.0200   14.684144  465.471785     0.0008    0.0034    0.0071    0.0078    0.0106    0.0095    0.0077    0.0000   0.0106  YES
  0.010  0.3    400      0.0400   14.501434  466.257234     0.0021    0.0088    0.0174    0.0175    0.0214    0.0178    0.0151    0.0001   0.0214  YES
  0.010  0.3    600      0.0600   14.317767  468.517724     0.0030    0.0111    0.0199    0.0173    0.0182    0.0140    0.0137    0.0001   0.0199  YES
  0.010  0.3    800      0.0800   14.133107  470.000143     0.0034    0.0109    0.0172    0.0129    0.0130    0.0105    0.0102    0.0001   0.0172  YES
  0.010  0.3    1000     0.1000   13.947987  470.078201     0.0035    0.0094    0.0128    0.0090    0.0104    0.0090    0.0062    0.0001   0.0128  YES
  0.010  0.3    1200     0.1200   13.763013  468.887416     0.0034    0.0080    0.0086    0.0068    0.0082    0.0072    0.0035    0.0001   0.0086  YES
