################################################################
#  δ UNIVERSALITY: Is δ > 0 for ALL α > 0 configs?            #
#  144 configurations. Need δ > 0 in ALL of them.             #
#  Need δ ≥ 0.38 for β_eff > 2 at s=3.5.                    #
################################################################

  A      α     ν       N    t       δ          β_new(3.5)  closes?
  0.20   1.50  0.0010  8    0.2000    +0.9274      2.5474  YES
  0.20   2.00  0.0100  6    0.0500    -2.2858     -0.6658  no
  0.20   2.00  0.0100  6    0.2000    -0.8353      0.7847  no
  0.20   2.00  0.0100  8    0.0500    +1.1825      2.8025  YES
  0.20   2.00  0.0100  8    0.2000    +1.2289      2.8489  YES
  0.20   2.00  0.0010  6    0.0500    -2.2844     -0.6644  no
  0.20   2.00  0.0010  6    0.2000    -0.8300      0.7900  no
  0.20   2.00  0.0010  8    0.0500    +1.1792      2.7992  YES
  0.20   2.00  0.0010  8    0.2000    +1.2146      2.8346  YES
  0.30   0.25  0.0100  6    0.0500    -1.0928      0.5272  no
  0.30   0.25  0.0100  6    0.2000    -0.1551      1.4649  no
  0.30   0.25  0.0100  8    0.0500    +0.2912      1.9112  no
  0.30   0.25  0.0100  8    0.2000    +0.1103      1.7303  no
  0.30   0.25  0.0010  6    0.0500    -1.0926      0.5274  no
  0.30   0.25  0.0010  6    0.2000    -0.1362      1.4838  no
  0.30   0.25  0.0010  8    0.0500    +0.2868      1.9068  no
  0.30   0.25  0.0010  8    0.2000    +0.1234      1.7434  no
  0.30   0.50  0.0100  6    0.0500    -1.1653      0.4547  no
  0.30   0.50  0.0100  6    0.2000    -0.3398      1.2802  no
  0.30   0.50  0.0100  8    0.0500    +0.4621      2.0821  YES
  0.30   0.50  0.0100  8    0.2000    +0.0314      1.6514  no
  0.30   0.50  0.0010  6    0.0500    -1.1652      0.4548  no
  0.30   0.50  0.0010  6    0.2000    -0.3244      1.2956  no
  0.30   0.50  0.0010  8    0.0500    +0.4575      2.0775  YES
  0.30   0.50  0.0010  8    0.2000    +0.0356      1.6556  no
  0.30   0.75  0.0100  6    0.0500    -1.2433      0.3767  no
  0.30   0.75  0.0100  6    0.2000    -0.4115      1.2085  no
  0.30   0.75  0.0100  8    0.0500    +0.6278      2.2478  YES
  0.30   0.75  0.0100  8    0.2000    +0.1498      1.7698  no
  0.30   0.75  0.0010  6    0.0500    -1.2431      0.3769  no
  0.30   0.75  0.0010  6    0.2000    -0.4085      1.2115  no
  0.30   0.75  0.0010  8    0.0500    +0.6233      2.2433  YES
  0.30   0.75  0.0010  8    0.2000    +0.1372      1.7572  no
  0.30   1.00  0.0100  6    0.0500    -1.3299      0.2901  no
  0.30   1.00  0.0100  6    0.2000    -0.4069      1.2131  no
  0.30   1.00  0.0100  8    0.0500    +0.7835      2.4035  YES
  0.30   1.00  0.0100  8    0.2000    +0.3589      1.9789  no
  0.30   1.00  0.0010  6    0.0500    -1.3296      0.2904  no
  0.30   1.00  0.0010  6    0.2000    -0.4060      1.2140  no
