############################################################
#  ENERGY CONSERVATION AUDIT                               #
#                                                          #
#  ν=0: nonlinear term MUST conserve energy exactly.      #
#  Any drift = bug in trilinear coupling.                  #
#                                                          #
#  Also: ν>0 energy should DECREASE (dE/dt = -2νΩ).      #
#  If energy increases at ν>0: nonlinear term adds energy.#
############################################################

  === TEST 1: ν=0, energy conservation ===

  N     dt      Steps       E(0)_manual   E(T)_manual   E(T)_solver   ΔE_manual%  ΔE_solver%
  ----  ------  ----------  ----------    ----------    ----------    ---------   --------- 
  3     0.00010  1000          0.25562797    0.25468807    0.25468807    -0.3677%    -0.3677%
  3     0.00005  2000          0.25562797    0.25468807    0.25468807    -0.3677%    -0.3677%
  3     0.00002  5000          0.25562797    0.25468807    0.25468807    -0.3677%    -0.3677%
  3     0.00001  10000         0.25562797    0.25468807    0.25468807    -0.3677%    -0.3677%
  4     0.00010  1000          0.40761837    0.40743941    0.40743941    -0.0439%    -0.0439%
  4     0.00005  2000          0.40761837    0.40743941    0.40743941    -0.0439%    -0.0439%
  4     0.00002  5000          0.40761837    0.40743941    0.40743941    -0.0439%    -0.0439%
  4     0.00001  10000         0.40761837    0.40743941    0.40743941    -0.0439%    -0.0439%
  5     0.00010  1000          0.62390832    0.63068516    0.63068516    +1.0862%    +1.0862%
  5     0.00005  2000          0.62390832    0.63068516    0.63068516    +1.0862%    +1.0862%
  5     0.00002  5000          0.62390832    0.63068516    0.63068516    +1.0862%    +1.0862%
  5     0.00001  10000         0.62390832    0.63068516    0.63068516    +1.0862%    +1.0862%
  6     0.00010  1000          0.96013552    1.01061232    1.01061232    +5.2573%    +5.2573%
  6     0.00005  2000          0.96013552    1.01061232    1.01061232    +5.2573%    +5.2573%
  6     0.00002  5000          0.96013552    1.01061232    1.01061232    +5.2573%    +5.2573%
  6     0.00001  10000         0.96013552    1.01061232    1.01061232    +5.2573%    +5.2573%
  7     0.00010  1000          1.29015640    1.48206284    1.48206284   +14.8747%   +14.8747%
  7     0.00005  2000          1.29015640    1.48206286    1.48206286   +14.8747%   +14.8747%
  7     0.00002  5000          1.29015640    1.48206286    1.48206286   +14.8747%   +14.8747%
  7     0.00001  10000         1.29015640    1.48206286    1.48206286   +14.8747%   +14.8747%
  8     0.00010  1000          1.70066586    1.90901737    1.90901737   +12.2512%   +12.2512%
  8     0.00005  2000          1.70066586    1.90901734    1.90901734   +12.2512%   +12.2512%
  8     0.00002  5000          1.70066586    1.90901733    1.90901733   +12.2512%   +12.2512%
  8     0.00001  10000         1.70066586    1.90901733    1.90901733   +12.2512%   +12.2512%

  === TEST 2: ν=0.01, energy should DECREASE ===

  N     Steps       E(0)          E(T)          ΔE           -2νΩ·T     Expected_ΔE  Match?    
  ----  ----------  ----------    ----------    ----------    ----------    ----------    --------- 
  3     2000          0.25562797    0.25228583   -0.00334214   -0.00240204   -0.00240204  NO
  4     2000          0.40761837    0.40115595   -0.00646242   -0.00627035   -0.00627035  ~YES
  5     2000          0.62390832    0.61573689   -0.00817143   -0.01473932   -0.01473932  NO
  6     2000          0.96013552    0.97433051   +0.01419499   -0.03437616   -0.03437616  NO
  7     2000          1.29015640    1.40855242   +0.11839602   -0.06327920   -0.06327920  NO
  8     2000          1.70066586    1.78835608   +0.08769022   -0.10644623   -0.10644623  NO

############################################################
#  If ν=0 drift is dt-INDEPENDENT: trilinear form is wrong#
#  If ν=0 drift DECREASES with dt: Euler truncation error #
#  If ν>0 actual ΔE ≠ expected: energy accounting broken  #
############################################################
